overall_rank,pos_rank,player,position,team,games_left,rest_of_season_points,points_per_game,p10,p50,p90,adp_rank
38,10,Nico Collins,WR,HOU,16.0,197.09,12.318,99.51,203.545,283.71,22.0
39,18,Bo Nix,QB,DEN,16.0,196.721,12.295,76.693,200.167,293.241,118.0
40,11,Tetairoa McMillan,WR,CAR,16.0,191.093,11.943,96.128,197.462,278.651,31.0
41,11,D'Andre Swift,RB,CHI,16.0,188.418,11.776,85.916,190.051,278.429,45.0
42,12,Rashee Rice,WR,KC,16.0,187.084,11.693,80.465,185.106,293.107,15.0
43,12,Rhamondre Stevenson,RB,NE,16.0,187.068,11.692,77.891,187.757,285.546,62.0
44,13,George Pickens,WR,DAL,16.0,186.904,11.681,92.368,185.537,279.778,20.0
45,14,DeVonta Smith,WR,PHI,16.0,186.387,11.649,92.552,190.181,275.219,30.0
46,15,A.J. Brown,WR,NE,16.0,186.336,11.646,81.167,184.792,287.004,17.0
47,19,Bryce Young,QB,CAR,16.0,183.989,11.499,77.121,188.897,287.696,233.0
48,16,Christian Watson,WR,GB,16.0,183.209,11.451,90.624,189.705,269.69,60.0
49,13,Jeremiyah Love,RB,ARI,16.0,182.822,11.426,86.216,189.482,272.327,28.0
50,20,Jordan Love,QB,GB,16.0,182.733,11.421,73.864,186.439,286.617,155.0
51,14,Kyren Williams,RB,LA,16.0,182.559,11.41,81.147,186.864,274.214,32.0
52,17,Parker Washington,WR,JAX,16.0,181.902,11.369,87.477,192.527,266.543,64.0
53,21,C.J. Stroud,QB,HOU,16.0,180.975,11.311,88.203,173.247,275.196,197.0
54,18,Tee Higgins,WR,CIN,16.0,180.849,11.303,83.526,188.378,265.301,37.0
55,15,Omarion Hampton,RB,LAC,16.0,178.894,11.181,72.071,183.41,273.696,24.0
56,19,Garrett Wilson,WR,NYJ,16.0,178.766,11.173,73.728,178.599,278.304,27.0
57,16,Saquon Barkley,RB,PHI,16.0,178.295,11.143,75.184,177.994,282.8,18.0
58,20,Ladd McConkey,WR,LAC,16.0,178.027,11.127,83.94,182.843,259.417,40.0
59,21,DJ Moore,WR,BUF,16.0,177.331,11.083,83.559,186.274,257.626,48.0
60,17,Breece Hall,RB,NYJ,16.0,177.237,11.077,80.096,181.179,271.789,33.0
61,18,Javonte Williams,RB,DAL,16.0,176.89,11.056,83.548,179.548,265.011,38.0
62,22,Emeka Egbuka,WR,TB,16.0,176.081,11.005,79.801,180.83,263.273,36.0
63,23,Malik Nabers,WR,NYG,16.0,175.263,10.954,70.466,175.401,272.718,26.0
64,24,Jameson Williams,WR,DET,16.0,175.049,10.941,77.102,182.387,257.667,46.0
65,19,Travis Etienne,RB,NO,16.0,171.723,10.733,75.608,177.214,253.331,39.0
66,20,Bucky Irving,RB,TB,16.0,171.5,10.719,73.854,174.943,258.847,47.0
67,25,Michael Wilson,WR,ARI,16.0,169.882,10.618,79.61,176.304,255.798,75.0
68,26,Mike Evans,WR,SF,16.0,169.401,10.588,76.932,177.316,256.06,55.0
69,27,Luther Burden III,WR,CHI,16.0,168.71,10.544,74.215,175.731,248.032,53.0
70,21,David Montgomery,RB,HOU,16.0,168.371,10.523,74.724,170.183,260.075,58.0
71,28,Alec Pierce,WR,IND,16.0,167.831,10.489,79.682,170.942,250.122,71.0
72,29,Terry McLaurin,WR,WAS,16.0,163.606,10.225,63.442,170.431,247.42,49.0
73,30,Jalen Coker,WR,CAR,16.0,163.409,10.213,59.1,158.392,264.44,125.0
74,22,Kyler Murray,QB,MIN,16.0,163.135,10.196,49.437,162.328,285.355,142.0
75,23,Jacoby Brissett,QB,ARI,16.0,161.449,10.091,74.52,166.638,245.29,237.0
76,24,Malik Willis,QB,MIA,16.0,160.689,10.043,55.859,161.424,253.862,204.0
77,25,Sam Darnold,QB,SEA,16.0,158.97,9.936,62.492,154.872,277.173,158.0
78,26,Cam Ward,QB,TEN,16.0,157.713,9.857,69.776,158.507,241.435,240.0
79,22,Jaylen Warren,RB,PIT,16.0,156.763,9.798,62.423,161.153,235.41,63.0
80,31,Davante Adams,WR,LA,16.0,155.707,9.732,47.082,156.942,245.733,42.0
81,2,Colston Loveland,TE,CHI,16.0,155.184,9.699,70.267,152.321,232.02,56.0
82,32,Stefon Diggs,WR,WAS,16.0,154.611,9.663,68.436,158.435,236.59,96.0
83,33,Jaylen Waddle,WR,DEN,16.0,153.185,9.574,47.836,153.951,241.958,44.0
84,23,Cam Skattebo,RB,NYG,16.0,152.144,9.509,57.375,157.723,239.819,41.0
85,34,Chris Godwin Jr.,WR,TB,16.0,150.225,9.389,63.95,152.627,234.509,81.0
86,35,Carnell Tate,WR,TEN,16.0,149.88,9.368,65.04,152.029,232.446,82.0
87,3,Dallas Goedert,TE,PHI,16.0,149.042,9.315,75.512,146.222,226.164,116.0
88,36,Jakobi Meyers,WR,JAX,16.0,148.5,9.281,61.675,151.457,235.395,88.0
89,37,Courtland Sutton,WR,DEN,16.0,148.255,9.266,51.937,154.279,234.495,61.0
90,27,Daniel Jones,QB,IND,16.0,148.223,9.264,39.154,149.859,254.755,191.0
91,28,Aaron Rodgers,QB,PIT,16.0,148.082,9.255,39.432,153.667,237.724,252.0
92,38,Rome Odunze,WR,CHI,16.0,147.996,9.25,50.751,150.915,236.779,54.0
93,39,Brian Thomas Jr.,WR,JAX,16.0,147.595,9.225,59.647,149.538,235.111,72.0
94,4,Brock Bowers,TE,LV,16.0,146.925,9.183,68.007,138.621,249.978,35.0
95,24,Chuba Hubbard,RB,CAR,16.0,146.313,9.145,49.872,147.778,235.788,85.0
96,25,Bhayshul Tuten,RB,JAX,16.0,146.094,9.131,53.987,151.843,232.03,52.0
97,40,DK Metcalf,WR,PIT,16.0,145.676,9.105,53.612,147.962,230.253,69.0
98,41,Wan'Dale Robinson,WR,TEN,16.0,145.086,9.068,53.546,148.319,228.771,86.0
99,26,Quinshon Judkins,RB,CLE,16.0,144.81,9.051,54.825,148.673,226.962,50.0
100,5,Tyler Warren,TE,IND,16.0,143.484,8.968,61.032,146.018,217.063,68.0
101,42,Denzel Boston,WR,CLE,16.0,143.448,8.965,58.721,142.268,229.919,145.0
102,43,Michael Pittman,WR,PIT,16.0,142.013,8.876,51.502,144.884,226.501,79.0
103,44,Josh Downs,WR,IND,16.0,141.072,8.817,56.286,145.774,226.525,92.0
104,45,Deebo Samuel Sr.,WR,SF,16.0,140.948,8.809,57.923,143.2,225.735,114.0
105,46,Marvin Harrison Jr.,WR,ARI,16.0,139.131,8.696,49.107,137.131,233.099,65.0
106,47,Matthew Golden,WR,GB,16.0,136.644,8.54,55.532,140.565,218.774,112.0
107,27,Jadarian Price,RB,SEA,16.0,136.529,8.533,41.228,140.302,215.771,74.0
108,6,Isaiah Likely,TE,NYG,16.0,135.972,8.498,50.339,136.493,218.86,148.0
109,28,Tony Pollard,RB,TEN,16.0,135.481,8.468,39.705,138.416,219.261,70.0
110,29,Josh Jacobs,RB,GB,16.0,134.535,8.408,39.011,132.187,232.596,43.0
111,48,Antonio Williams,WR,WAS,16.0,134.396,8.4,43.297,138.469,214.984,
112,30,Kenny Gainwell,RB,TB,16.0,134.385,8.399,42.424,136.423,213.816,93.0
113,31,TreVeyon Henderson,RB,NE,16.0,132.787,8.299,42.168,136.356,210.625,66.0
114,32,RJ Harvey,RB,DEN,16.0,132.477,8.28,36.843,134.074,215.968,100.0
115,29,Fernando Mendoza,QB,LV,16.0,132.05,8.253,25.463,111.352,272.238,170.0
116,49,Khalil Shakir,WR,BUF,16.0,131.722,8.233,49.622,133.096,217.012,105.0
117,33,Kyle Monangai,RB,CHI,16.0,131.138,8.196,29.193,129.646,221.441,115.0
118,7,Kyle Pitts,TE,ATL,16.0,130.537,8.159,60.279,128.973,194.648,83.0
119,50,Jordan Addison,WR,MIN,16.0,130.475,8.155,56.217,127.487,214.522,101.0
120,51,Quentin Johnston,WR,LAC,16.0,130.403,8.15,40.867,133.077,218.188,99.0
121,52,KC Concepcion,WR,CLE,16.0,129.943,8.121,50.964,132.627,214.965,123.0
122,8,Travis Kelce,TE,KC,16.0,128.633,8.04,54.953,130.13,190.147,111.0
123,9,Harold Fannin Jr.,TE,CLE,16.0,128.484,8.03,53.768,128.023,198.515,77.0
124,30,Geno Smith,QB,NYJ,16.0,128.46,8.029,31.63,129.145,224.638,244.0
125,53,Caleb Douglas,WR,MIA,16.0,128.38,8.024,24.179,122.096,231.222,209.0
126,31,Deshaun Watson,QB,CLE,16.0,127.29,7.956,24.858,130.295,221.706,260.0
127,34,Jacory Croskey-Merritt,RB,WAS,16.0,127.189,7.949,38.613,126.765,216.523,121.0
128,35,Rico Dowdle,RB,PIT,16.0,126.938,7.934,35.498,130.389,207.536,76.0
129,10,Sam LaPorta,TE,DET,16.0,126.814,7.926,64.256,126.664,186.025,117.0
130,54,Keenan Allen,WR,IND,16.0,126.61,7.913,52.236,124.57,207.008,140.0
131,55,Jayden Reed,WR,GB,16.0,126.491,7.906,54.721,122.822,211.392,95.0
132,11,Mark Andrews,TE,BAL,16.0,125.574,7.848,44.235,125.994,192.988,138.0
133,32,Kirk Cousins,QB,LV,16.0,124.128,7.758,30.525,128.116,201.136,
134,12,George Kittle,TE,SF,16.0,122.959,7.685,42.979,128.41,186.757,97.0
135,13,Dalton Kincaid,TE,BUF,16.0,121.571,7.598,29.106,119.255,198.725,159.0
136,36,Jordan Mason,RB,MIN,16.0,121.117,7.57,26.495,122.07,198.78,120.0
137,56,Xavier Worthy,WR,KC,16.0,120.921,7.558,48.468,114.136,205.139,108.0
138,14,Kenyon Sadiq,TE,NYJ,16.0,119.832,7.489,38.608,112.103,207.461,203.0
139,57,Tre Tucker,WR,LV,16.0,119.811,7.488,43.0,120.986,208.064,137.0
140,15,Juwan Johnson,TE,NO,16.0,119.683,7.48,38.461,116.47,204.121,173.0
141,58,Malik Washington,WR,MIA,16.0,119.459,7.466,40.719,119.028,194.987,165.0
142,59,Romeo Doubs,WR,NE,16.0,119.171,7.448,46.217,111.154,208.272,113.0
143,37,Aaron Jones,RB,MIN,16.0,119.159,7.447,29.395,117.938,200.176,110.0
144,16,Tucker Kraft,TE,GB,16.0,117.847,7.365,49.577,118.372,176.168,103.0
145,60,Jerry Jeudy,WR,CLE,16.0,117.747,7.359,36.582,120.575,205.118,132.0
146,17,Jake Ferguson,TE,DAL,16.0,116.42,7.276,49.78,115.835,179.474,139.0
147,61,Chimere Dike,WR,TEN,16.0,115.306,7.207,46.525,112.263,195.905,144.0
148,62,Makai Lemon,WR,PHI,16.0,115.209,7.201,47.458,110.597,198.173,128.0
149,63,Jauan Jennings,WR,MIN,16.0,114.013,7.126,39.983,114.136,192.638,157.0
150,38,Rachaad White,RB,WAS,16.0,113.866,7.117,25.268,112.049,191.37,122.0
151,39,Blake Corum,RB,LA,16.0,113.741,7.109,28.377,111.931,191.513,126.0
152,40,J.K. Dobbins,RB,DEN,16.0,113.205,7.075,29.236,110.381,196.495,91.0
153,64,Rashid Shaheed,WR,SEA,16.0,112.349,7.022,43.62,106.233,196.924,129.0
154,41,Tyjae Spears,RB,TEN,16.0,111.961,6.998,28.366,111.586,187.663,134.0
155,42,Zach Charbonnet,RB,SEA,16.0,111.873,6.992,30.63,107.127,194.611,143.0
156,18,Hunter Henry,TE,NE,16.0,111.073,6.942,34.229,107.14,197.204,199.0
157,65,Malachi Fields,WR,NYG,16.0,108.977,6.811,41.716,103.548,177.484,175.0
158,66,Jalen McMillan,WR,TB,16.0,108.572,6.786,40.051,101.889,183.271,149.0
159,19,Brenton Strange,TE,JAX,16.0,108.069,6.754,27.079,100.934,198.814,229.0
160,43,Jonathon Brooks,RB,CAR,16.0,107.457,6.716,26.03,104.697,195.561,98.0
161,20,Dalton Schultz,TE,HOU,16.0,105.842,6.615,31.327,104.238,178.287,211.0
162,44,Samaje Perine,RB,CIN,16.0,105.804,6.613,28.29,102.2,188.091,150.0
163,67,Jalen Nailor,WR,LV,16.0,105.374,6.586,33.4,99.848,180.047,181.0
164,45,Tyrone Tracy Jr.,RB,NYG,16.0,104.77,6.548,13.868,101.993,195.235,184.0
165,68,Cooper Kupp,WR,SEA,16.0,104.701,6.544,29.964,101.236,173.701,190.0
166,69,Dontayvion Wicks,WR,PHI,16.0,103.994,6.5,19.877,96.601,190.079,228.0
167,70,Devaughn Vele,WR,NO,16.0,103.21,6.451,16.33,99.241,192.742,219.0
168,46,Woody Marks,RB,HOU,16.0,102.615,6.413,21.455,98.663,181.895,153.0
169,71,Adonai Mitchell,WR,NYJ,16.0,102.209,6.388,16.676,97.706,196.497,213.0
170,47,Emmett Johnson,RB,KC,16.0,101.899,6.369,14.423,96.851,195.642,182.0
171,48,Devin Singletary,RB,NYG,16.0,99.79,6.237,30.308,98.719,165.105,
172,21,Pat Freiermuth,TE,PIT,16.0,99.655,6.228,26.669,87.254,185.862,250.0
173,22,Cade Otton,TE,TB,16.0,99.313,6.207,33.251,97.16,163.328,
174,49,Kaelon Black,RB,SF,16.0,99.01,6.188,6.639,95.099,191.008,201.0
175,50,Tyler Allgeier,RB,ARI,16.0,98.626,6.164,26.299,96.934,170.559,179.0
176,72,Ryan Flournoy,WR,DAL,16.0,98.397,6.15,19.307,93.916,180.198,241.0
177,51,Mike Washington Jr.,RB,LV,16.0,97.15,6.072,25.712,97.74,165.802,161.0
178,73,Xavier Hutchinson,WR,HOU,16.0,95.915,5.995,21.324,90.659,173.47,263.0
179,74,Josh Cameron,WR,JAX,16.0,95.39,5.962,26.318,92.362,162.596,
180,75,Kalif Raymond,WR,CHI,16.0,95.38,5.961,30.35,93.436,161.146,
181,76,Tre Harris,WR,LAC,16.0,95.098,5.944,25.305,89.937,175.36,253.0
182,77,Jaylin Noel,WR,HOU,16.0,94.991,5.937,20.597,91.377,175.08,255.0
183,23,Greg Dulcich,TE,MIA,16.0,94.248,5.891,28.571,89.965,165.871,230.0
184,78,De'Zhaun Stribling,WR,SF,16.0,93.683,5.855,17.997,80.973,186.407,127.0
185,79,Kayshon Boutte,WR,HOU,16.0,93.177,5.824,19.247,90.506,170.379,202.0
186,80,Ja'Kobi Lane,WR,BAL,16.0,93.109,5.819,18.843,90.414,170.509,200.0
187,81,Cyrus Allen,WR,KC,16.0,92.603,5.788,22.206,86.863,171.421,164.0
188,24,Mike Gesicki,TE,CIN,16.0,92.473,5.78,23.125,91.483,157.684,
189,25,AJ Barner,TE,SEA,16.0,92.044,5.753,30.424,83.9,164.163,246.0
190,26,T.J. Hockenson,TE,MIN,16.0,91.628,5.727,30.294,87.183,162.627,236.0
191,82,Chris Bell,WR,MIA,16.0,91.625,5.727,17.478,88.546,165.892,223.0
192,52,Chris Rodriguez Jr.,RB,JAX,16.0,91.406,5.713,13.121,90.686,164.18,187.0
193,83,Omar Cooper Jr.,WR,NYJ,16.0,91.26,5.704,17.166,88.985,169.187,207.0
194,84,Xavier Legette,WR,CAR,16.0,89.577,5.599,15.254,86.203,173.047,249.0
195,27,Chig Okonkwo,TE,WAS,16.0,89.261,5.579,28.909,83.236,159.539,245.0
196,85,Elic Ayomanor,WR,TEN,16.0,88.872,5.555,21.156,86.433,153.398,
197,86,Rashod Bateman,WR,BAL,16.0,88.836,5.552,14.786,88.34,163.136,186.0
198,28,Michael Mayer,TE,LV,16.0,88.78,5.549,22.279,86.638,152.628,
199,53,Ray Davis,RB,BUF,16.0,88.589,5.537,10.578,86.134,168.624,216.0
200,87,Keon Coleman,WR,BUF,16.0,88.277,5.517,12.947,82.124,173.243,248.0
201,29,Evan Engram,TE,DEN,16.0,88.038,5.502,20.163,86.892,152.203,
202,33,Carson Wentz,QB,MIN,16.0,87.371,5.461,18.786,85.228,151.814,
203,54,MarShawn Lloyd,RB,GB,16.0,86.821,5.426,23.491,76.661,163.595,136.0
204,30,Colby Parkinson,TE,LA,16.0,85.764,5.36,17.566,83.359,151.534,
205,55,Tank Bigsby,RB,PHI,16.0,85.742,5.359,8.234,86.108,162.167,195.0
206,56,Brian Robinson,RB,ATL,16.0,85.431,5.339,9.99,85.823,153.217,188.0
207,88,Troy Franklin,WR,DEN,16.0,85.154,5.322,14.173,81.563,163.657,262.0
208,89,Calvin Ridley,WR,TEN,16.0,84.198,5.262,15.101,78.497,166.849,171.0
209,90,Bryce Lance,WR,NO,16.0,83.546,5.222,19.314,81.047,144.935,
210,31,Terrance Ferguson,TE,LA,16.0,82.945,5.184,21.986,82.984,139.829,226.0
211,32,Eli Raridon,TE,NE,16.0,80.764,5.048,14.456,78.866,145.726,
212,57,Dylan Sampson,RB,CLE,16.0,80.62,5.039,6.164,78.261,160.37,205.0
213,91,Demarcus Robinson,WR,SF,16.0,80.414,5.026,10.131,77.03,148.859,
214,58,Braelon Allen,RB,NYJ,16.0,79.531,4.971,15.425,76.271,150.946,178.0
215,92,Ted Hurst III,WR,TB,16.0,79.417,4.964,11.916,76.5,141.922,
216,59,Keaton Mitchell,RB,LAC,16.0,78.189,4.887,7.082,75.115,147.308,192.0
217,60,Isiah Pacheco,RB,DET,16.0,77.67,4.854,13.638,71.428,143.51,185.0
218,61,Jonah Coleman,RB,DEN,16.0,77.488,4.843,18.023,68.973,147.904,168.0
219,93,Jordyn Tyson,WR,NO,16.0,77.381,4.836,4.976,71.251,164.503,189.0
220,62,Ty Johnson,RB,BUF,16.0,76.479,4.78,7.383,70.85,152.519,238.0
221,63,Najee Harris,RB,NYG,16.0,72.537,4.534,11.138,60.979,144.826,180.0
222,64,Kimani Vidal,RB,LAC,16.0,72.528,4.533,6.166,65.578,146.317,196.0
223,94,Travis Hunter,WR,JAX,16.0,72.411,4.526,12.259,61.281,154.141,224.0
224,65,Jordan James,RB,SF,16.0,71.372,4.461,12.667,60.253,144.563,169.0
225,95,Tank Dell,WR,HOU,16.0,69.645,4.353,7.184,55.111,155.414,215.0
226,96,Kendrick Bourne,WR,ARI,16.0,69.5,4.344,17.997,65.986,121.112,
227,97,Pat Bryant,WR,DEN,16.0,68.365,4.273,16.25,62.906,125.549,
228,33,Cole Kmet,TE,CHI,16.0,68.297,4.269,16.306,63.315,124.177,
229,66,Nicholas Singleton,RB,TEN,16.0,67.625,4.227,5.383,54.778,146.81,194.0
230,67,Alvin Kamara,RB,NO,16.0,67.33,4.208,11.596,54.677,138.935,177.0
231,98,Jahdae Walker,WR,CHI,16.0,67.035,4.19,13.988,62.633,122.239,
232,34,Drew Lock,QB,SEA,16.0,66.933,4.183,14.76,60.48,120.655,
233,68,Justice Hill,RB,BAL,16.0,64.716,4.045,8.711,56.687,137.03,239.0
234,35,Shedeur Sanders,QB,CLE,16.0,64.162,4.01,13.027,58.603,117.556,
235,34,Dawson Knox,TE,BUF,16.0,64.01,4.001,11.099,59.382,118.814,
236,99,DeMario Douglas,WR,NE,16.0,63.504,3.969,9.888,56.884,122.921,
237,69,Audric Estimé,RB,NO,16.0,63.119,3.945,10.306,58.349,117.629,
238,100,Jayden Higgins,WR,HOU,16.0,62.465,3.904,10.194,57.787,120.566,
239,101,Jack Bech,WR,LV,16.0,62.439,3.902,10.455,56.667,117.341,
240,36,Riley Leonard,QB,IND,16.0,62.077,3.88,10.118,56.137,117.338,
241,70,Malik Davis,RB,DAL,16.0,61.885,3.868,6.964,54.247,128.486,258.0
242,35,Tommy Tremble,TE,CAR,16.0,61.761,3.86,9.368,55.925,117.046,
243,71,James Conner,RB,ARI,16.0,61.543,3.846,5.991,48.701,129.954,206.0
244,36,Oronde Gadsden II,TE,LAC,16.0,61.123,3.82,7.27,55.497,116.815,
245,37,Quinn Ewers,QB,JAX,16.0,60.347,3.772,8.374,55.22,115.17,
246,38,Brady Cook,QB,MIA,16.0,59.97,3.748,8.026,54.199,115.233,
247,102,Isaiah Williams,WR,NYJ,16.0,58.966,3.685,6.824,53.297,113.126,
248,39,Mitchell Trubisky,QB,TEN,16.0,58.735,3.671,6.433,52.712,114.1,
249,103,Mack Hollins,WR,NE,16.0,58.279,3.642,5.264,52.948,112.8,
250,104,Darnell Mooney,WR,NYG,16.0,56.906,3.557,6.061,51.141,110.211,
251,105,Josh Palmer,WR,BUF,16.0,56.879,3.555,3.056,51.758,111.521,
252,40,J.J. McCarthy,QB,MIN,16.0,56.415,3.526,3.148,51.228,111.427,
253,106,Isaac TeSlaa,WR,DET,16.0,55.735,3.483,2.752,50.448,110.099,
254,37,Gunnar Helm,TE,TEN,16.0,55.62,3.476,4.515,50.731,108.182,
255,38,Noah Fant,TE,NO,16.0,54.132,3.383,1.304,47.886,108.074,
256,72,Jaleel McLaughlin,RB,CLE,16.0,49.587,3.099,10.454,43.838,94.336,
257,107,Andrei Iosivas,WR,CIN,16.0,49.491,3.093,10.415,44.147,95.529,
258,39,Tyler Higbee,TE,LA,16.0,48.934,3.058,10.607,44.054,94.122,
259,40,Jonnu Smith,TE,GB,16.0,47.911,2.994,10.327,43.296,92.318,
260,41,Cooper Rush,QB,ATL,16.0,47.605,2.975,8.882,41.292,92.038,
261,73,Brashard Smith,RB,KC,16.0,47.539,2.971,8.348,42.343,93.292,
262,108,Jahan Dotson,WR,ATL,16.0,47.395,2.962,10.855,43.673,90.461,
263,109,Dohnte Meyers,WR,CIN,16.0,47.133,2.946,9.201,41.283,92.001,
264,41,Josh Oliver,TE,MIN,16.0,46.289,2.893,8.751,40.332,90.309,
265,42,David Njoku,TE,LAC,16.0,46.151,2.884,7.784,40.731,90.32,
266,43,John Bates,TE,WAS,16.0,45.004,2.813,6.5,39.088,92.319,
267,42,Tanner McKee,QB,PHI,16.0,44.556,2.785,8.173,38.84,87.704,
268,44,Drew Sample,TE,CIN,16.0,44.03,2.752,4.99,38.551,89.304,
269,74,Chris Brooks,RB,GB,16.0,43.59,2.724,5.499,36.674,89.019,
270,45,Daniel Bellinger,TE,TEN,16.0,43.448,2.715,6.572,37.933,86.639,
271,75,Raheim Sanders,RB,CLE,16.0,42.751,2.672,3.612,38.197,87.536,
272,46,Darren Waller,TE,CAR,16.0,41.757,2.61,3.685,35.3,87.795,
273,110,KaVontae Turpin,WR,DAL,16.0,41.699,2.606,4.03,36.693,84.832,
274,111,Gunner Olszewski,WR,NYG,16.0,41.542,2.596,2.389,35.837,87.433,
275,47,Nate Boerkircher,TE,JAX,16.0,41.183,2.574,2.945,35.303,86.092,
276,48,Matthew Hibner,TE,BAL,16.0,40.539,2.534,2.048,34.783,84.892,
277,43,Trey Lance,QB,LAC,16.0,40.464,2.529,3.741,35.303,82.537,
278,49,Brevyn Spann-Ford,TE,DAL,16.0,40.286,2.518,0.984,35.85,82.446,
279,44,Aidan O'Connell,QB,LV,16.0,40.056,2.504,2.814,35.225,82.809,
280,112,Xavier Smith,WR,LA,16.0,39.403,2.463,0.675,33.57,84.536,
281,113,Marquise Brown,WR,PHI,16.0,38.891,2.431,1.67,32.769,82.896,
282,50,Darnell Washington,TE,PIT,16.0,38.616,2.413,0.268,33.38,82.861,
283,114,John Metchie III,WR,CAR,16.0,38.317,2.395,0.057,32.542,82.73,
284,51,Noah Gray,TE,KC,16.0,38.162,2.385,0.0,31.76,81.629,
285,45,Tyler Huntley,QB,BAL,16.0,37.69,2.356,0.0,31.392,82.56,
286,52,Marlin Klein,TE,HOU,16.0,37.159,2.322,0.0,30.563,83.555,
287,53,Mitchell Evans,TE,CAR,16.0,36.499,2.281,0.0,30.248,80.042,
288,76,Ameer Abdullah,RB,JAX,16.0,36.434,2.277,0.0,30.464,78.818,
289,77,Kendre Miller,RB,NO,16.0,34.833,2.177,5.788,27.58,73.071,
290,78,Kaytron Allen,RB,WAS,16.0,34.247,2.14,4.237,27.615,71.952,
291,46,Tua Tagovailoa,QB,ATL,16.0,33.913,2.12,5.518,26.584,71.931,
292,115,Marvin Mims Jr.,WR,DEN,16.0,33.545,2.097,5.848,27.696,68.713,
293,54,Theo Johnson,TE,NYG,16.0,33.384,2.086,4.612,26.495,70.809,
294,116,Calvin Austin III,WR,NYG,16.0,33.163,2.073,4.802,26.841,72.673,
295,79,Emari Demercado,RB,DAL,16.0,32.839,2.052,5.513,25.923,70.628,
296,117,Tez Johnson,WR,TB,16.0,32.72,2.045,5.039,26.301,68.793,
297,118,LaJohntay Wester,WR,BAL,16.0,32.691,2.043,4.107,26.291,71.935,
