overall_rank,pos_rank,player,position,team,games_left,rest_of_season_points,points_per_game,p10,p50,p90,adp_rank
1,1,Jahmyr Gibbs,RB,DET,16.0,322.711,20.169,216.284,325.183,423.707,1.0
2,2,Bijan Robinson,RB,ATL,16.0,301.168,18.823,189.008,310.293,407.432,2.0
3,1,Puka Nacua,WR,LA,16.0,280.98,17.561,184.87,280.696,379.797,3.0
4,2,Jaxon Smith-Njigba,WR,SEA,16.0,271.706,16.982,183.83,274.323,363.747,5.0
5,1,Josh Allen,QB,BUF,16.0,268.849,16.803,169.064,273.812,355.954,34.0
6,3,Amon-Ra St. Brown,WR,DET,16.0,266.59,16.662,168.926,275.792,354.017,7.0
7,4,Ja'Marr Chase,WR,CIN,16.0,257.928,16.12,155.685,256.192,364.316,4.0
8,2,Caleb Williams,QB,CHI,16.0,251.632,15.727,145.434,264.135,343.727,90.0
9,3,Drake Maye,QB,NE,16.0,249.094,15.568,144.053,253.864,349.217,51.0
10,5,Justin Jefferson,WR,MIN,16.0,246.367,15.398,145.953,256.474,335.627,11.0
11,4,Joe Burrow,QB,CIN,16.0,245.189,15.324,152.002,249.296,334.674,57.0
12,5,Trevor Lawrence,QB,JAX,16.0,242.309,15.144,138.805,255.508,329.264,94.0
13,6,Lamar Jackson,QB,BAL,16.0,241.665,15.104,148.412,244.14,338.311,59.0
14,3,Christian McCaffrey,RB,SF,16.0,240.117,15.007,131.272,243.751,342.963,6.0
15,4,Derrick Henry,RB,BAL,16.0,238.539,14.909,135.602,248.421,335.714,16.0
16,5,Jonathan Taylor,RB,IND,16.0,237.463,14.841,130.614,244.571,339.877,8.0
17,7,Jaxson Dart,QB,NYG,16.0,231.759,14.485,131.384,242.1,308.397,124.0
18,8,Brock Purdy,QB,SF,16.0,230.576,14.411,111.582,241.977,319.584,87.0
19,6,Zay Flowers,WR,BAL,16.0,228.032,14.252,129.089,237.841,316.266,25.0
20,6,Chase Brown,RB,CIN,16.0,226.784,14.174,124.674,229.526,318.643,14.0
21,9,Dak Prescott,QB,DAL,16.0,224.835,14.052,115.067,226.249,332.538,67.0
22,10,Jalen Hurts,QB,PHI,16.0,222.895,13.931,90.027,232.603,332.144,80.0
23,7,Ashton Jeanty,RB,LV,16.0,221.505,13.844,116.089,229.683,318.768,21.0
24,11,Tyler Shough,QB,NO,16.0,220.491,13.781,118.28,227.669,296.827,147.0
25,7,CeeDee Lamb,WR,DAL,16.0,220.111,13.757,116.981,219.057,326.735,10.0
26,8,Chris Olave,WR,NO,16.0,220.075,13.755,126.132,228.663,307.886,19.0
27,12,Matthew Stafford,QB,LA,16.0,216.731,13.546,90.848,221.452,327.648,78.0
28,8,Kenneth Walker III,RB,KC,16.0,215.726,13.483,108.13,223.233,314.397,23.0
29,13,Jared Goff,QB,DET,16.0,211.881,13.243,83.989,219.62,316.381,104.0
30,9,De'Von Achane,RB,MIA,16.0,210.383,13.149,91.073,212.948,317.895,9.0
31,9,Drake London,WR,ATL,16.0,208.366,13.023,112.141,207.537,303.254,13.0
32,14,Baker Mayfield,QB,TB,16.0,206.546,12.909,102.308,212.128,294.264,133.0
33,15,Jayden Daniels,QB,WAS,16.0,206.093,12.881,84.897,211.236,325.353,73.0
34,10,James Cook,RB,BUF,16.0,203.997,12.75,93.716,209.111,304.312,12.0
35,1,Trey McBride,TE,ARI,16.0,201.561,12.598,111.211,204.101,288.55,29.0
36,16,Justin Herbert,QB,LAC,16.0,200.658,12.541,64.929,205.584,312.598,107.0
37,17,Patrick Mahomes,QB,KC,16.0,197.902,12.369,71.863,197.77,311.361,106.0
