overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
1,1,Jahmyr Gibbs,RB,DET,BUF,22.41,11.678,21.571,34.57,0.986,0.0
2,2,Bijan Robinson,RB,ATL,CAR,21.807,10.978,20.859,33.182,0.988,0.0
3,1,Josh Allen,QB,BUF,DET,21.319,9.173,21.851,32.957,0.95,0.0
4,1,Amon-Ra St. Brown,WR,DET,BUF,20.202,8.816,19.386,33.18,0.977,0.0
5,2,Puka Nacua,WR,LA,NYG,19.72,8.384,19.074,32.526,0.962,0.0
6,3,Jaxon Smith-Njigba,WR,SEA,ARI,19.217,8.015,17.993,31.953,0.983,0.0
7,2,Caleb Williams,QB,CHI,MIN,19.124,7.582,19.553,29.834,0.972,0.0
8,4,Justin Jefferson,WR,MIN,CHI,18.639,7.895,17.701,30.666,0.984,0.0
9,3,Christian McCaffrey,RB,SF,MIA,18.418,6.835,17.877,30.55,0.953,0.0
10,3,Lamar Jackson,QB,BAL,NO,18.283,6.938,18.561,29.457,0.941,0.0
11,4,Jonathan Taylor,RB,IND,KC,18.135,7.09,17.613,29.683,0.987,0.0
12,4,Trevor Lawrence,QB,JAX,DEN,18.011,6.724,18.317,28.549,0.962,0.0
13,5,Jaxson Dart,QB,NYG,LA,17.853,6.526,18.474,28.465,0.955,0.0
14,6,Brock Purdy,QB,SF,MIA,17.791,4.633,18.266,29.326,0.919,0.0
15,5,Derrick Henry,RB,BAL,NO,17.665,6.556,16.999,29.107,0.981,0.0
16,6,Kenneth Walker III,RB,KC,IND,17.603,6.587,16.927,28.878,0.985,0.0
17,7,Drake Maye,QB,NE,PIT,17.52,6.12,18.169,28.247,0.959,0.0
18,5,Ja'Marr Chase,WR,CIN,HOU,17.161,5.539,16.503,30.187,0.954,0.0
19,8,Tyler Shough,QB,NO,BAL,16.726,3.827,17.094,27.67,0.928,0.0
20,9,Matthew Stafford,QB,LA,NYG,16.595,3.842,16.906,26.825,0.933,0.0
21,10,Bryce Young,QB,CAR,ATL,16.461,4.536,16.922,26.606,0.954,0.0
22,7,Ashton Jeanty,RB,LV,LAC,16.446,5.417,15.712,28.35,0.978,0.0
23,11,Dak Prescott,QB,DAL,WAS,16.318,4.856,16.176,26.959,0.942,0.0
24,8,Chase Brown,RB,CIN,HOU,16.295,4.596,15.739,28.326,0.957,0.0
25,12,Joe Burrow,QB,CIN,HOU,16.294,5.969,15.767,26.573,0.954,0.0
26,13,Jalen Hurts,QB,PHI,TEN,16.117,0.611,16.371,26.915,0.909,0.0
27,14,Justin Herbert,QB,LAC,LV,15.895,0.0,16.418,26.684,0.906,0.0
28,15,Bo Nix,QB,DEN,JAX,15.72,2.179,16.25,26.685,0.927,0.0
29,6,Zay Flowers,WR,BAL,NO,15.461,4.519,14.429,28.523,0.97,0.0
30,16,Baker Mayfield,QB,TB,CLE,15.407,5.528,15.358,25.029,0.966,0.0
31,17,C.J. Stroud,QB,HOU,CIN,15.236,4.696,15.152,25.331,0.952,0.0
32,9,James Cook,RB,BUF,DET,15.211,5.979,14.148,26.006,0.981,0.0
33,7,CeeDee Lamb,WR,DAL,WAS,15.12,4.212,13.958,27.681,0.978,0.0
34,8,Chris Olave,WR,NO,BAL,15.103,2.891,14.247,27.898,0.95,0.0
35,10,De'Von Achane,RB,MIA,SF,15.096,1.521,14.643,27.75,0.925,0.0
36,11,Rhamondre Stevenson,RB,NE,PIT,15.011,5.652,13.749,26.37,0.972,0.0
37,18,Jared Goff,QB,DET,BUF,14.935,4.179,14.774,24.233,0.954,0.0
38,12,Javonte Williams,RB,DAL,WAS,14.836,5.361,13.931,26.09,0.956,0.0
39,1,Trey McBride,TE,ARI,SEA,14.643,5.247,13.948,25.453,0.971,0.0
40,19,Patrick Mahomes,QB,KC,IND,14.523,0.0,15.833,27.156,0.818,0.0
41,13,D'Andre Swift,RB,CHI,MIN,14.206,4.567,13.062,25.631,0.972,0.0
42,20,Aaron Rodgers,QB,PIT,NE,13.866,2.646,13.9,24.138,0.94,0.0
43,9,Drake London,WR,ATL,CAR,13.754,2.979,12.875,25.45,0.943,0.0
44,14,Kyren Williams,RB,LA,NYG,13.317,2.822,12.249,24.789,0.941,0.0
45,15,Saquon Barkley,RB,PHI,TEN,13.131,2.386,12.21,24.458,0.937,0.0
46,10,George Pickens,WR,DAL,WAS,13.112,2.948,12.135,24.024,0.966,0.0
47,11,DJ Moore,WR,BUF,DET,13.032,3.04,12.198,24.099,0.973,0.0
48,12,Tetairoa McMillan,WR,CAR,ATL,12.984,2.763,11.621,24.72,0.963,0.0
49,13,Nico Collins,WR,HOU,CIN,12.942,1.656,12.083,24.342,0.921,0.0
50,16,Breece Hall,RB,NYJ,GB,12.906,2.442,11.957,24.168,0.931,0.0
51,21,Jayden Daniels,QB,WAS,DAL,12.844,0.0,13.899,26.717,0.724,0.0
52,14,DeVonta Smith,WR,PHI,TEN,12.7,3.201,11.773,23.419,0.98,0.0
53,22,Kirk Cousins,QB,LV,LAC,12.598,1.698,12.42,23.182,0.936,0.0
54,15,Jameson Williams,WR,DET,BUF,12.597,2.13,11.56,23.734,0.955,0.0
55,17,Omarion Hampton,RB,LAC,LV,12.587,0.0,11.691,24.5,0.869,0.0
56,16,Caleb Douglas,WR,MIA,SF,12.526,2.402,11.78,23.666,0.967,0.0
57,18,Bucky Irving,RB,TB,CLE,12.524,3.526,11.376,23.102,0.953,0.0
58,17,Christian Watson,WR,GB,NYJ,12.452,2.047,11.559,23.855,0.951,0.0
59,19,Chuba Hubbard,RB,CAR,ATL,12.421,3.317,11.0,23.243,0.971,0.0
60,20,Jeremiyah Love,RB,ARI,SEA,12.379,3.344,11.277,23.446,0.955,0.0
61,23,Cam Ward,QB,TEN,PHI,12.294,2.006,12.047,22.31,0.965,0.0
62,18,Tee Higgins,WR,CIN,HOU,12.292,3.027,11.23,23.112,0.956,0.0
63,24,Geno Smith,QB,NYJ,GB,12.242,0.0,12.454,23.538,0.836,0.0
64,21,David Montgomery,RB,HOU,CIN,12.216,3.36,10.831,22.882,0.978,0.0
65,19,Mike Evans,WR,SF,MIA,12.158,3.004,11.102,22.86,0.968,0.0
66,20,Parker Washington,WR,JAX,DEN,12.051,2.606,11.052,22.717,0.949,0.0
