overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
67,21,Garrett Wilson,WR,NYJ,GB,11.92,0.0,11.019,24.131,0.867,0.0
68,25,Jacoby Brissett,QB,ARI,SEA,11.882,0.045,11.929,21.566,0.932,0.0
69,22,Terry McLaurin,WR,WAS,DAL,11.858,1.841,11.182,22.623,0.933,0.0
70,23,Luther Burden III,WR,CHI,MIN,11.854,2.641,10.963,22.314,0.952,0.0
71,24,Malik Nabers,WR,NYG,LA,11.829,0.0,10.857,23.306,0.845,0.0
72,25,Stefon Diggs,WR,WAS,DAL,11.796,2.649,10.743,22.499,0.971,0.0
73,26,Malik Willis,QB,MIA,SF,11.703,0.0,12.165,23.826,0.794,0.0
74,26,Emeka Egbuka,WR,TB,CLE,11.664,2.711,10.82,21.858,0.97,0.0
75,22,Travis Etienne,RB,NO,BAL,11.485,2.339,10.224,22.042,0.956,0.0
76,27,Michael Wilson,WR,ARI,SEA,11.445,1.878,10.578,21.875,0.954,0.0
77,27,Deshaun Watson,QB,CLE,TB,11.354,0.0,12.161,23.571,0.741,0.0
78,2,Colston Loveland,TE,CHI,MIN,11.283,1.586,10.526,21.98,0.93,0.0
79,28,Alec Pierce,WR,IND,KC,11.253,1.978,10.208,21.716,0.957,0.0
80,29,Deebo Samuel Sr.,WR,SF,MIA,11.253,2.014,10.269,21.752,0.965,0.0
81,3,Tyler Warren,TE,IND,KC,11.193,1.711,10.449,22.112,0.964,0.0
82,4,Travis Kelce,TE,KC,IND,11.104,1.557,10.205,21.957,0.972,0.0
83,30,Ladd McConkey,WR,LAC,LV,11.069,0.383,10.072,22.12,0.913,0.0
84,28,Jordan Love,QB,GB,NYJ,10.994,0.0,11.544,23.387,0.742,0.0
85,23,Jadarian Price,RB,SEA,ARI,10.903,2.295,9.635,20.81,0.953,0.0
86,31,KC Concepcion,WR,CLE,TB,10.901,1.694,10.073,21.47,0.97,0.0
87,32,Wan'Dale Robinson,WR,TEN,PHI,10.88,0.145,9.921,22.068,0.914,0.0
88,33,Chris Godwin Jr.,WR,TB,CLE,10.865,1.327,9.899,21.205,0.954,0.0
89,34,A.J. Brown,WR,NE,PIT,10.662,0.0,9.42,22.521,0.855,0.0
90,35,Courtland Sutton,WR,DEN,JAX,10.632,2.25,9.646,20.254,0.953,0.0
91,36,Jalen Coker,WR,CAR,ATL,10.623,1.495,9.358,21.133,0.955,0.0
92,37,DK Metcalf,WR,PIT,NE,10.477,0.0,9.36,21.195,0.906,0.0
93,24,Jaylen Warren,RB,PIT,NE,10.474,1.524,9.575,21.063,0.946,0.0
94,38,Carnell Tate,WR,TEN,PHI,10.449,2.043,9.341,20.12,0.963,0.0
95,39,Rashee Rice,WR,KC,IND,10.41,0.0,9.298,23.198,0.746,0.0
96,40,Davante Adams,WR,LA,NYG,10.277,0.0,9.094,21.574,0.89,0.0
97,41,Denzel Boston,WR,CLE,TB,10.192,1.094,8.858,20.568,0.934,0.0
98,42,Jaylen Waddle,WR,DEN,JAX,10.188,0.0,9.146,21.003,0.895,0.0
99,25,Tony Pollard,RB,TEN,PHI,10.127,1.695,9.003,19.949,0.951,0.0
100,29,Sam Darnold,QB,SEA,ARI,10.087,0.0,9.815,21.544,0.775,0.0
101,26,Kenny Gainwell,RB,TB,CLE,10.082,0.515,9.086,19.804,0.91,0.0
102,43,Keenan Allen,WR,IND,KC,9.847,1.6,8.61,20.167,0.967,0.0
103,44,Brian Thomas Jr.,WR,JAX,DEN,9.752,0.512,8.268,20.022,0.925,0.0
104,5,Dalton Kincaid,TE,BUF,DET,9.699,1.676,8.932,19.165,0.962,0.0
105,45,Josh Downs,WR,IND,KC,9.666,0.857,8.337,19.344,0.942,0.0
106,30,Daniel Jones,QB,IND,KC,9.665,0.0,8.96,22.145,0.704,0.0
107,46,Xavier Worthy,WR,KC,IND,9.641,0.029,8.309,19.881,0.909,0.0
108,27,Bhayshul Tuten,RB,JAX,DEN,9.617,0.611,7.807,20.563,0.913,0.0
109,47,Khalil Shakir,WR,BUF,DET,9.604,0.147,8.308,19.499,0.899,0.0
110,28,Kaelon Black,RB,SF,MIA,9.602,1.27,8.153,19.857,0.944,0.0
111,6,Mark Andrews,TE,BAL,NO,9.59,1.372,8.886,18.178,0.961,0.0
112,48,Jerry Jeudy,WR,CLE,TB,9.561,0.753,8.06,19.876,0.936,0.0
113,7,George Kittle,TE,SF,MIA,9.527,0.0,8.994,18.614,0.909,0.0
114,49,Quentin Johnston,WR,LAC,LV,9.507,0.0,8.059,19.487,0.908,0.0
115,29,RJ Harvey,RB,DEN,JAX,9.484,0.151,8.375,19.509,0.929,0.0
116,30,Kyle Monangai,RB,CHI,MIN,9.469,0.454,8.293,20.029,0.937,0.0
117,8,Dallas Goedert,TE,PHI,TEN,9.468,1.002,8.711,18.207,0.946,0.0
118,31,Quinshon Judkins,RB,CLE,TB,9.429,0.0,8.488,20.354,0.859,0.0
119,50,Malik Washington,WR,MIA,SF,9.426,0.713,8.176,19.355,0.96,0.0
120,32,Jacory Croskey-Merritt,RB,WAS,DAL,9.357,0.417,8.285,18.766,0.944,0.0
121,51,Tre Tucker,WR,LV,LAC,9.192,0.0,7.541,19.564,0.915,0.0
122,52,Michael Pittman,WR,PIT,NE,9.164,0.309,8.003,18.783,0.938,0.0
123,33,Aaron Jones,RB,MIN,CHI,9.05,0.0,7.635,19.277,0.871,0.0
124,31,Kyler Murray,QB,MIN,CHI,8.949,0.0,8.08,21.006,0.675,0.0
125,53,Matthew Golden,WR,GB,NYJ,8.942,0.999,7.634,18.728,0.959,0.0
126,54,Jordan Addison,WR,MIN,CHI,8.915,0.0,7.447,18.853,0.91,0.0
127,34,Rico Dowdle,RB,PIT,NE,8.819,0.0,7.205,19.753,0.905,0.0
128,55,Jayden Reed,WR,GB,NYJ,8.818,0.0,7.335,18.683,0.872,0.0
129,56,Jakobi Meyers,WR,JAX,DEN,8.782,0.0,7.097,18.735,0.916,0.0
130,9,Kyle Pitts,TE,ATL,CAR,8.745,0.0,8.021,17.846,0.921,0.0
131,10,Harold Fannin Jr.,TE,CLE,TB,8.365,0.0,7.574,17.031,0.858,0.0
132,35,Tyjae Spears,RB,TEN,PHI,8.337,0.0,6.68,17.873,0.924,0.0
133,11,Cade Otton,TE,TB,CLE,8.1,1.194,7.11,16.264,0.95,0.0
134,12,Sam LaPorta,TE,DET,BUF,8.072,0.0,7.472,16.538,0.835,0.0
135,13,Dalton Schultz,TE,HOU,CIN,7.995,0.919,6.91,16.564,0.954,0.0
136,14,Hunter Henry,TE,NE,PIT,7.872,0.781,6.895,16.375,0.947,0.0
137,15,Juwan Johnson,TE,NO,BAL,7.852,0.654,6.975,16.313,0.943,0.0
138,36,TreVeyon Henderson,RB,NE,PIT,7.81,0.0,6.201,18.579,0.789,0.0
139,16,Isaiah Likely,TE,NYG,LA,7.627,0.409,6.58,16.219,0.949,0.0
140,17,Pat Freiermuth,TE,PIT,NE,7.626,0.993,6.397,15.256,0.967,0.0
141,37,Cam Skattebo,RB,NYG,LA,7.587,0.0,6.293,18.573,0.705,0.0
142,57,Rome Odunze,WR,CHI,MIN,7.563,0.0,5.819,18.31,0.766,0.0
143,18,Jake Ferguson,TE,DAL,WAS,7.434,0.0,6.488,15.993,0.917,0.0
144,38,J.K. Dobbins,RB,DEN,JAX,7.394,0.0,5.631,18.393,0.747,0.0
145,58,Devaughn Vele,WR,NO,BAL,7.388,0.0,5.939,17.536,0.8,0.0
146,39,Rachaad White,RB,WAS,DAL,7.369,0.885,5.902,15.982,0.933,0.0
147,19,AJ Barner,TE,SEA,ARI,7.325,0.37,6.261,15.202,0.918,0.0
148,20,Greg Dulcich,TE,MIA,SF,7.286,0.0,6.06,15.274,0.905,0.0
149,21,Chig Okonkwo,TE,WAS,DAL,7.278,0.0,6.383,15.52,0.922,0.0
150,22,Brenton Strange,TE,JAX,DEN,7.269,0.0,6.378,15.722,0.935,0.0
151,32,Carson Wentz,QB,MIN,CHI,7.218,0.0,4.782,18.622,0.773,0.0
152,59,Cooper Kupp,WR,SEA,ARI,7.196,0.48,5.701,15.572,0.927,0.0
153,23,Kenyon Sadiq,TE,NYJ,GB,7.179,0.0,6.011,16.006,0.932,0.0
154,60,Antonio Williams,WR,WAS,DAL,7.167,0.252,5.587,15.881,0.93,0.0
155,61,Xavier Hutchinson,WR,HOU,CIN,7.141,0.326,5.478,15.895,0.938,0.0
156,24,Tucker Kraft,TE,GB,NYJ,7.127,0.0,6.126,15.812,0.818,0.0
157,40,Blake Corum,RB,LA,NYG,7.115,0.246,5.631,15.917,0.927,0.0
158,41,Emmett Johnson,RB,KC,IND,7.103,0.236,5.787,15.212,0.915,0.0
159,62,Ryan Flournoy,WR,DAL,WAS,7.098,0.0,5.593,16.718,0.868,0.0
160,42,Woody Marks,RB,HOU,CIN,7.074,0.0,5.587,15.713,0.903,0.0
161,25,Evan Engram,TE,DEN,JAX,7.057,0.381,5.908,14.95,0.971,0.0
162,63,Jauan Jennings,WR,MIN,CHI,6.994,0.0,5.248,17.155,0.85,0.0
163,43,Jordan Mason,RB,MIN,CHI,6.973,0.0,5.513,15.812,0.904,0.0
164,26,Michael Mayer,TE,LV,LAC,6.856,0.277,5.731,14.697,0.944,0.0
165,64,Romeo Doubs,WR,NE,PIT,6.643,0.0,5.301,15.981,0.812,0.0
166,65,Tre Harris,WR,LAC,LV,6.64,0.1,5.07,15.163,0.952,0.0
167,44,MarShawn Lloyd,RB,GB,NYJ,6.611,0.0,4.373,17.861,0.63,0.0
168,45,Tyler Allgeier,RB,ARI,SEA,6.587,0.226,5.254,14.361,0.959,0.0
169,27,T.J. Hockenson,TE,MIN,CHI,6.433,0.0,5.034,14.355,0.901,0.0
170,66,Adonai Mitchell,WR,NYJ,GB,6.416,0.0,4.867,14.662,0.933,0.0
171,67,Marvin Harrison Jr.,WR,ARI,SEA,6.36,0.0,4.66,15.26,0.837,0.0
172,28,Colby Parkinson,TE,LA,NYG,6.358,0.0,5.179,14.035,0.907,0.0
173,68,Jalen Nailor,WR,LV,LAC,6.342,0.0,4.628,14.946,0.909,0.0
174,69,Malachi Fields,WR,NYG,LA,6.265,0.0,4.74,14.326,0.912,0.0
175,46,Zach Charbonnet,RB,SEA,ARI,6.262,0.0,4.786,14.901,0.85,0.0
176,29,Brock Bowers,TE,LV,LAC,6.218,0.0,4.165,16.052,0.596,0.0
177,70,Dontayvion Wicks,WR,PHI,TEN,6.115,0.0,4.348,15.219,0.875,0.0
178,47,Samaje Perine,RB,CIN,HOU,6.024,0.638,4.546,13.336,0.94,0.0
179,30,Jonnu Smith,TE,GB,NYJ,5.911,0.164,4.498,13.008,0.932,0.0
180,48,Ray Davis,RB,BUF,DET,5.884,0.0,4.234,14.557,0.85,0.0
181,71,Makai Lemon,WR,PHI,TEN,5.847,0.062,4.357,13.713,0.926,0.0
182,72,Pat Bryant,WR,DEN,JAX,5.705,0.0,4.099,13.784,0.922,0.0
183,31,Dawson Knox,TE,BUF,DET,5.681,0.13,4.24,12.788,0.939,0.0
184,49,Devin Singletary,RB,NYG,LA,5.532,0.0,3.988,13.376,0.949,0.0
185,73,DeMario Douglas,WR,NE,PIT,5.466,-0.179,3.934,13.526,0.956,0.0
186,74,Rashid Shaheed,WR,SEA,ARI,5.437,0.0,3.978,13.218,0.899,0.0
187,50,Audric Estimé,RB,NO,BAL,5.315,0.0,3.504,12.859,0.853,0.0
188,51,Tyrone Tracy Jr.,RB,NYG,LA,5.226,0.0,3.821,13.1,0.79,0.0
189,32,Tommy Tremble,TE,CAR,ATL,5.172,0.0,3.574,12.023,0.911,0.0
190,75,Kalif Raymond,WR,CHI,MIN,5.138,0.205,3.624,12.266,0.969,0.0
191,33,David Njoku,TE,LAC,LV,5.075,0.0,3.408,12.588,0.861,0.0
192,52,Brashard Smith,RB,KC,IND,5.073,0.0,3.389,12.74,0.822,0.0
193,53,Brian Robinson,RB,ATL,CAR,5.038,0.0,3.18,12.818,0.93,0.0
194,34,Mike Gesicki,TE,CIN,HOU,4.782,0.182,3.538,10.762,0.963,0.0
195,76,Keon Coleman,WR,BUF,DET,4.771,0.0,3.14,12.705,0.766,0.0
196,77,Rashod Bateman,WR,BAL,NO,4.742,0.0,3.119,12.358,0.798,0.0
197,78,Troy Franklin,WR,DEN,JAX,4.734,0.0,3.161,11.416,0.903,0.0
198,54,Chris Brooks,RB,GB,NYJ,4.668,0.0,3.268,11.342,0.896,0.0
199,33,Drew Lock,QB,SEA,ARI,4.636,0.0,0.0,15.658,0.584,0.0
200,79,Kayshon Boutte,WR,HOU,CIN,4.615,0.0,3.093,12.422,0.776,0.0
201,35,Cole Kmet,TE,CHI,MIN,4.571,0.0,3.386,10.623,0.926,0.0
202,55,Tank Bigsby,RB,PHI,TEN,4.55,0.0,2.948,11.759,0.85,0.0
203,80,Ja'Kobi Lane,WR,BAL,NO,4.548,0.0,2.882,11.863,0.909,0.0
204,81,Jalen McMillan,WR,TB,CLE,4.405,0.0,1.934,12.99,0.612,0.0
205,36,Gunnar Helm,TE,TEN,PHI,4.4,0.0,3.203,10.651,0.885,0.0
206,82,Xavier Legette,WR,CAR,ATL,4.366,0.0,2.853,10.964,0.915,0.0
207,56,Chris Rodriguez Jr.,RB,JAX,DEN,4.345,0.0,2.686,11.462,0.802,0.0
208,83,Bryce Lance,WR,NO,BAL,4.315,-0.094,2.61,11.665,0.904,0.0
209,84,Isaac TeSlaa,WR,DET,BUF,4.309,-0.295,2.571,11.594,0.905,0.0
210,85,Jahan Dotson,WR,ATL,CAR,4.255,-0.141,2.622,11.286,0.914,0.0
211,57,Mike Washington Jr.,RB,LV,LAC,4.191,-0.087,2.453,11.368,0.898,0.0
212,86,Marquise Brown,WR,PHI,TEN,4.167,-0.018,2.546,10.691,0.858,0.0
213,37,Mason Taylor,TE,NYJ,GB,4.151,0.0,2.396,11.313,0.692,0.0
214,87,Chris Bell,WR,MIA,SF,4.136,-0.409,2.453,10.707,0.905,0.0
215,38,Noah Fant,TE,NO,BAL,4.068,-0.185,2.968,9.669,0.955,0.0
216,88,Mack Hollins,WR,NE,PIT,4.064,-0.088,2.417,10.766,0.86,0.0
217,89,Josh Cameron,WR,JAX,DEN,4.06,-0.244,2.4,10.505,0.902,0.0
218,90,Ted Hurst III,WR,TB,CLE,4.032,-0.172,2.342,10.721,0.913,0.0
219,91,Darnell Mooney,WR,NYG,LA,3.994,-0.315,2.273,11.003,0.891,0.0
220,58,Josh Jacobs,RB,GB,NYJ,3.865,0.0,0.512,11.5,0.529,0.0
221,59,Braelon Allen,RB,NYJ,GB,3.861,0.0,1.375,11.631,0.621,0.0
222,92,Demarcus Robinson,WR,SF,MIA,3.833,-0.005,2.248,10.299,0.921,0.0
223,93,Chimere Dike,WR,TEN,PHI,3.823,-0.127,2.065,10.473,0.834,0.0
224,39,Josh Oliver,TE,MIN,CHI,3.815,-0.182,2.621,9.623,0.898,0.0
225,34,Tua Tagovailoa,QB,ATL,CAR,3.791,0.0,0.0,13.647,0.433,0.0
226,60,Jonathon Brooks,RB,CAR,ATL,3.749,0.0,0.575,11.989,0.567,0.0
227,40,Eli Raridon,TE,NE,PIT,3.745,0.0,2.627,9.017,0.9,0.0
228,41,Noah Gray,TE,KC,IND,3.728,0.0,2.63,9.013,0.893,0.0
229,35,Shedeur Sanders,QB,CLE,TB,3.619,-0.227,0.0,14.494,0.526,0.0
230,94,Andrei Iosivas,WR,CIN,HOU,3.45,-0.208,1.834,9.862,0.891,0.0
231,42,Oronde Gadsden II,TE,LAC,LV,3.407,-0.019,2.24,8.827,0.853,0.0
232,61,Keaton Mitchell,RB,LAC,LV,3.387,0.0,1.815,9.196,0.851,0.0
233,95,Isaiah Williams,WR,NYJ,GB,3.355,-0.192,1.765,9.445,0.879,0.0
234,36,J.J. McCarthy,QB,MIN,CHI,3.314,0.0,0.0,13.286,0.449,0.0
235,37,Kenny Pickett,QB,CAR,ATL,3.31,0.0,1.129,10.344,0.729,0.0
236,96,Kendrick Bourne,WR,ARI,SEA,3.299,-0.5,1.744,9.535,0.955,0.0
237,97,Elic Ayomanor,WR,TEN,PHI,3.299,0.0,1.931,9.31,0.895,0.0
238,43,Nate Boerkircher,TE,JAX,DEN,3.269,0.0,2.075,8.649,0.899,0.0
239,44,Darnell Washington,TE,PIT,NE,3.25,0.0,2.108,8.474,0.837,0.0
240,45,John Bates,TE,WAS,DAL,3.234,-0.12,1.911,8.732,0.83,0.0
241,98,Josh Palmer,WR,BUF,DET,3.219,-0.436,1.526,9.537,0.873,0.0
242,99,Marvin Mims Jr.,WR,DEN,JAX,3.204,-0.47,1.562,9.408,0.902,0.0
243,46,Mitchell Evans,TE,CAR,ATL,3.193,0.0,2.036,8.671,0.863,0.0
244,100,Omar Cooper Jr.,WR,NYJ,GB,3.185,-0.563,1.665,9.473,0.918,0.0
245,47,Drew Sample,TE,CIN,HOU,3.136,-0.081,2.004,8.503,0.891,0.0
246,101,Jaylin Noel,WR,HOU,CIN,3.101,-0.484,1.46,9.312,0.92,0.0
247,48,Terrance Ferguson,TE,LA,NYG,3.095,0.0,1.821,8.54,0.753,0.0
248,49,Darren Waller,TE,CAR,ATL,3.07,0.0,1.822,8.15,0.751,0.0
249,62,Justice Hill,RB,BAL,NO,3.052,0.0,0.503,9.786,0.644,0.0
250,50,Tyler Higbee,TE,LA,NYG,3.03,0.0,1.858,8.654,0.801,0.0
251,38,Trey Lance,QB,LAC,LV,3.014,0.0,0.0,11.923,0.379,0.0
252,63,Hunter Luepke,RB,DAL,WAS,2.984,-0.277,1.174,9.276,0.834,0.0
253,64,Ty Johnson,RB,BUF,DET,2.938,0.0,0.446,9.251,0.621,0.0
254,65,Malik Davis,RB,DAL,WAS,2.903,0.0,0.0,9.879,0.511,0.0
255,51,Brevyn Spann-Ford,TE,DAL,WAS,2.881,-0.218,1.621,8.194,0.869,0.0
256,102,Jack Bech,WR,LV,LAC,2.866,0.0,1.132,8.34,0.856,0.0
257,39,Mitchell Trubisky,QB,TEN,PHI,2.82,0.0,0.0,11.197,0.55,0.0
258,52,Durham Smythe,TE,BAL,NO,2.808,0.0,1.865,7.652,0.906,0.0
259,66,Dylan Sampson,RB,CLE,TB,2.798,-0.219,0.872,9.023,0.765,0.0
260,53,Luke Farrell,TE,SF,MIA,2.736,0.0,1.583,7.957,0.719,0.0
261,54,Marlin Klein,TE,HOU,CIN,2.69,-0.172,1.687,7.617,0.9,0.0
262,55,Luke Schoonmaker,TE,DAL,WAS,2.645,-0.024,1.667,7.506,0.851,0.0
263,67,Emari Demercado,RB,DAL,WAS,2.621,-0.329,1.076,8.197,0.808,0.0
264,103,Roman Wilson,WR,PIT,NE,2.597,-0.018,0.409,8.351,0.699,0.0
265,56,Theo Johnson,TE,NYG,LA,2.57,-0.043,1.17,7.859,0.663,0.0
266,57,Matthew Hibner,TE,BAL,NO,2.516,-0.154,1.552,7.417,0.886,0.0
267,104,John Metchie III,WR,CAR,ATL,2.46,-0.203,0.078,8.02,0.654,0.0
268,105,Cyrus Allen,WR,KC,IND,2.441,-0.397,1.045,7.646,0.885,0.0
269,58,Charlie Kolar,TE,LAC,LV,2.427,-0.086,1.207,7.302,0.726,0.0
270,40,Justin Fields,QB,KC,IND,2.386,0.0,0.0,10.719,0.354,0.0
271,106,Jordan Whittington,WR,LA,NYG,2.384,0.0,0.863,6.523,0.919,0.0
272,107,Treylon Burks,WR,WAS,DAL,2.38,-0.21,0.016,8.021,0.659,0.0
273,59,Foster Moreau,TE,HOU,CIN,2.366,0.0,1.159,7.446,0.688,0.0
274,60,Adam Trautman,TE,DEN,JAX,2.341,0.0,1.31,7.083,0.757,0.0
275,108,Tyquan Thornton,WR,KC,IND,2.325,-0.248,0.0,7.897,0.652,0.0
276,68,AJ Dillon,RB,CAR,ATL,2.322,0.0,0.858,6.592,0.831,0.0
277,69,Raheim Sanders,RB,CLE,TB,2.294,0.0,0.599,6.863,0.788,0.0
278,70,Isiah Pacheco,RB,DET,BUF,2.249,0.0,0.0,8.643,0.41,0.0
279,71,Jonah Coleman,RB,DEN,JAX,2.225,-0.133,0.55,6.722,0.872,0.0
280,61,Ben Sinnott,TE,WAS,DAL,2.214,0.0,0.093,7.349,0.549,0.0
281,72,George Holani,RB,SEA,ARI,2.179,0.0,0.0,7.317,0.566,0.0
282,109,Jahdae Walker,WR,CHI,MIN,2.111,-0.493,0.141,7.265,0.798,0.0
283,62,Austin Hooper,TE,ATL,CAR,2.102,0.0,0.418,6.882,0.663,0.0
284,110,Jayden Higgins,WR,HOU,CIN,2.085,-0.0,0.632,6.283,0.833,0.0
285,63,Jake Tonges,TE,SF,MIA,2.059,0.0,0.0,7.092,0.47,0.0
286,64,Cade Stover,TE,HOU,CIN,2.001,-0.287,1.012,6.711,0.764,0.0
287,65,Kylen Granson,TE,TEN,PHI,1.999,0.0,0.523,5.455,0.807,0.0
288,73,Sione Vaki,RB,DET,BUF,1.961,-0.184,0.446,6.375,0.859,0.0
289,111,Dyami Brown,WR,WAS,DAL,1.958,-0.213,0.439,6.204,0.838,0.0
290,66,Jeremy Ruckert,TE,NYJ,GB,1.954,-0.256,0.755,6.405,0.723,0.0
291,67,Will Kacmarek,TE,MIA,SF,1.912,-0.027,1.103,5.103,0.889,0.0
292,68,Davis Allen,TE,LA,NYG,1.868,0.0,0.38,5.262,0.792,0.0
293,41,Tyler Huntley,QB,BAL,NO,1.853,0.0,0.0,7.961,0.409,0.0
