overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
528,79,Ty Simpson,QB,LA,DEN,0.121,0.0,0.0,0.0,0.095,0.0
529,80,Haynes King,QB,CAR,CLE,0.117,0.0,0.0,0.0,0.059,0.0
530,132,Will Mallory,TE,IND,HOU,0.108,-0.315,0.0,0.0,0.194,0.0
531,187,Tom Kennedy,WR,DET,NYJ,0.102,-1.667,-0.233,2.09,0.827,0.0
532,133,E.J. Jenkins,TE,PHI,CHI,0.101,0.0,0.0,0.0,0.105,0.0
533,134,Nick Kallerup,TE,SEA,WAS,0.1,0.0,0.0,0.0,0.109,0.0
534,81,Drew Allar,QB,PIT,CIN,0.097,0.0,0.0,0.0,0.08,0.0
535,188,D.J. Montgomery,WR,IND,HOU,0.097,0.0,0.0,0.0,0.071,0.0
536,82,Athan Kaliakmanis,QB,WAS,SEA,0.093,0.0,0.0,0.0,0.062,0.0
537,189,Malachi Corley,WR,CLE,CAR,0.086,-1.695,-0.294,2.062,0.851,0.0
538,190,Deion Burks,WR,IND,HOU,0.084,-1.473,0.0,1.385,0.642,0.0
539,83,Tommy DeVito,QB,NE,JAX,0.083,0.0,0.0,0.0,0.038,0.0
540,135,Carter Runyon,TE,LV,NO,0.076,0.0,0.0,0.0,0.116,0.0
541,136,Treyton Welch,TE,NO,LV,0.075,-0.741,0.0,0.0,0.232,0.0
542,84,Cole Payton,QB,PHI,CHI,0.074,0.0,0.0,0.0,0.07,0.0
543,85,Jalen Milroe,QB,SEA,WAS,0.067,0.0,0.0,0.0,0.053,0.0
544,137,Ko Kieft,TE,TB,MIN,0.062,0.0,0.0,0.0,0.095,0.0
545,86,Skylar Thompson,QB,BAL,DAL,0.058,0.0,0.0,0.0,0.042,0.0
546,138,Nick Muse,TE,ATL,GB,0.043,-0.658,0.0,0.0,0.212,0.0
547,87,Case Keenum,QB,CHI,PHI,0.04,0.0,0.0,0.0,0.024,0.0
548,133,Jeremy McNichols,RB,WAS,SEA,0.039,-1.372,0.0,0.161,0.316,0.0
549,139,Princeton Fant,TE,DAL,BAL,0.025,0.0,0.0,0.0,0.157,0.0
550,88,Sam Ehlinger,QB,DEN,LA,0.015,0.0,0.0,0.0,0.041,0.0
551,140,Thomas Fidone II,TE,NYG,TEN,0.012,0.0,0.0,0.0,0.077,0.0
552,191,Tylan Wallace,WR,CLE,CAR,0.011,-0.4,0.0,0.0,0.189,0.0
553,192,Beaux Collins,WR,ATL,GB,-0.001,0.0,0.0,0.0,0.114,0.0
554,141,Feleipe Franks,TE,CAR,CLE,-0.006,-1.812,0.0,1.729,0.726,0.0
555,142,Bauer Sharp,TE,TB,MIN,-0.039,-1.639,0.0,0.223,0.35,0.0
556,143,Cole Turner,TE,MIA,KC,-0.042,0.0,0.0,0.0,0.132,0.0
557,193,Ben Skowronek,WR,PIT,CIN,-0.066,-1.803,0.0,1.454,0.722,0.0
558,134,Brittain Brown,RB,CHI,PHI,-0.07,-0.919,0.0,0.0,0.155,0.0
559,194,Savion Williams,WR,GB,ATL,-0.076,-1.271,0.0,0.0,0.237,0.0
