overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
158,66,Dontayvion Wicks,WR,PHI,CHI,6.708,0.0,5.239,15.384,0.896,0.0
159,67,Tre Harris,WR,LAC,BUF,6.7,0.0,5.127,15.255,0.939,0.0
160,22,Michael Mayer,TE,LV,NO,6.695,0.0,5.633,14.35,0.924,0.0
161,23,Juwan Johnson,TE,NO,LV,6.68,0.0,5.416,14.459,0.891,0.0
162,24,AJ Barner,TE,SEA,WAS,6.611,0.0,5.335,14.545,0.906,0.0
163,68,Cooper Kupp,WR,SEA,WAS,6.491,0.0,5.023,15.34,0.894,0.0
164,41,Alvin Kamara,RB,NO,LV,6.466,0.0,5.258,15.114,0.819,0.0
165,42,Rico Dowdle,RB,PIT,CIN,6.444,0.0,4.859,15.335,0.856,0.0
166,43,Kaelon Black,RB,SF,ARI,6.379,0.0,4.816,15.128,0.914,0.0
167,44,Tank Bigsby,RB,PHI,CHI,6.345,0.0,4.826,14.695,0.95,0.0
168,69,Michael Pittman,WR,PIT,CIN,6.311,0.0,4.613,16.213,0.754,0.0
169,45,Emmett Johnson,RB,KC,MIA,6.039,0.0,4.279,14.668,0.884,0.0
170,32,Kyler Murray,QB,MIN,TB,5.981,0.0,0.0,18.065,0.477,0.0
171,25,Terrance Ferguson,TE,LA,DEN,5.922,0.253,4.361,12.923,0.929,0.0
172,70,A.J. Brown,WR,NE,JAX,5.901,0.0,3.678,16.095,0.637,0.0
173,46,MarShawn Lloyd,RB,GB,ATL,5.854,0.0,4.247,14.133,0.748,0.0
174,33,Jameis Winston,QB,NYG,TEN,5.796,0.0,1.853,17.155,0.586,0.0
175,47,Brian Robinson,RB,ATL,GB,5.776,0.423,4.347,12.952,0.952,0.0
176,26,Evan Engram,TE,DEN,LA,5.774,0.27,4.248,12.68,0.937,0.0
177,48,Samaje Perine,RB,CIN,PIT,5.771,0.012,4.41,13.101,0.922,0.0
178,49,J.K. Dobbins,RB,DEN,LA,5.769,0.0,4.339,13.995,0.826,0.0
179,34,Sam Darnold,QB,SEA,WAS,5.75,0.0,0.0,18.593,0.41,0.0
180,71,Jalen Nailor,WR,LV,NO,5.736,0.0,4.2,13.73,0.884,0.0
181,27,Brock Bowers,TE,LV,NO,5.54,0.0,2.107,15.357,0.535,0.0
182,28,Greg Dulcich,TE,MIA,KC,5.527,0.0,4.045,12.862,0.873,0.0
183,29,Gunnar Helm,TE,TEN,NYG,5.4,0.0,3.926,12.514,0.889,0.0
184,72,Makai Lemon,WR,PHI,CHI,5.283,-0.155,3.66,13.348,0.916,0.0
185,73,Kayshon Boutte,WR,HOU,IND,5.264,0.0,3.693,13.445,0.902,0.0
186,74,Isaiah Williams,WR,NYJ,DET,5.033,-0.273,3.369,12.835,0.944,0.0
187,30,Colby Parkinson,TE,LA,DEN,4.975,0.0,3.455,12.321,0.896,0.0
188,75,Kalif Raymond,WR,CHI,PHI,4.962,0.121,3.299,12.389,0.955,0.0
189,50,Jonathon Brooks,RB,CAR,CLE,4.953,0.0,2.972,12.883,0.748,0.0
190,51,Zach Charbonnet,RB,SEA,WAS,4.941,0.0,2.973,13.015,0.711,0.0
191,31,Dawson Knox,TE,BUF,LAC,4.935,0.226,3.606,11.177,0.937,0.0
192,52,Devin Singletary,RB,NYG,TEN,4.801,0.0,2.9,12.216,0.918,0.0
193,53,Emanuel Wilson,RB,SEA,WAS,4.757,0.0,3.163,11.922,0.94,0.0
194,76,DeMario Douglas,WR,NE,JAX,4.753,0.0,3.111,12.311,0.909,0.0
195,54,Ray Davis,RB,BUF,LAC,4.702,0.0,2.896,12.015,0.874,0.0
196,77,Germie Bernard,WR,PIT,CIN,4.643,-0.217,2.917,12.76,0.847,0.0
197,78,Jaylin Noel,WR,HOU,IND,4.577,-0.015,2.957,11.984,0.951,0.0
198,55,Braelon Allen,RB,NYJ,DET,4.57,0.0,2.597,12.049,0.781,0.0
199,32,Oronde Gadsden II,TE,LAC,BUF,4.568,0.0,3.217,10.654,0.908,0.0
200,79,Xavier Legette,WR,CAR,CLE,4.535,0.0,2.859,11.594,0.925,0.0
201,80,Pat Bryant,WR,DEN,LA,4.529,0.0,2.726,11.745,0.901,0.0
202,81,Roman Wilson,WR,PIT,CIN,4.471,0.0,2.745,11.8,0.868,0.0
203,82,Jahan Dotson,WR,ATL,GB,4.385,0.0,2.744,11.263,0.926,0.0
204,33,Tommy Tremble,TE,CAR,CLE,4.324,0.0,3.06,10.477,0.899,0.0
205,83,Antonio Williams,WR,WAS,SEA,4.294,-0.092,2.628,11.715,0.914,0.0
206,84,Isaac TeSlaa,WR,DET,NYJ,4.273,-0.129,2.706,11.155,0.933,0.0
207,56,Justice Hill,RB,BAL,DAL,4.239,0.0,2.276,11.375,0.797,0.0
208,57,Tyrone Tracy Jr.,RB,NYG,TEN,4.178,0.0,2.284,11.332,0.841,0.0
209,85,Ted Hurst III,WR,TB,MIN,4.162,-0.267,2.441,11.078,0.94,0.0
210,34,Chig Okonkwo,TE,WAS,SEA,4.122,0.0,2.517,10.853,0.704,0.0
211,86,Elic Ayomanor,WR,TEN,NYG,4.117,-0.053,2.506,10.72,0.913,0.0
212,87,Darnell Mooney,WR,NYG,TEN,4.03,-0.239,2.444,10.481,0.914,0.0
213,58,Chris Rodriguez Jr.,RB,JAX,NE,4.006,0.0,2.148,11.217,0.828,0.0
214,35,Josh Oliver,TE,MIN,TB,3.971,-0.096,2.63,10.178,0.877,0.0
215,88,Kendrick Bourne,WR,ARI,SF,3.969,-0.466,2.086,10.905,0.914,0.0
216,89,Calvin Ridley,WR,TEN,NYG,3.904,0.0,1.871,11.401,0.683,0.0
217,36,Noah Fant,TE,NO,LV,3.869,0.0,2.561,9.243,0.926,0.0
218,37,Darnell Washington,TE,PIT,CIN,3.837,-0.028,2.514,9.819,0.857,0.0
219,90,Jauan Jennings,WR,MIN,TB,3.779,0.0,0.011,12.398,0.532,0.0
220,91,Demarcus Robinson,WR,SF,ARI,3.773,0.0,2.362,10.068,0.893,0.0
221,38,David Njoku,TE,LAC,BUF,3.73,-0.152,2.158,10.105,0.858,0.0
222,39,Jonnu Smith,TE,GB,ATL,3.726,0.0,2.372,9.719,0.734,0.0
223,92,Jayden Reed,WR,GB,ATL,3.673,0.0,0.0,12.098,0.517,0.0
224,93,Mack Hollins,WR,NE,JAX,3.621,-0.478,1.93,9.977,0.867,0.0
225,59,Mike Washington Jr.,RB,LV,NO,3.615,0.0,1.865,10.077,0.892,0.0
226,60,Chris Brooks,RB,GB,ATL,3.592,0.0,1.789,10.028,0.868,0.0
227,94,Jack Bech,WR,LV,NO,3.568,-0.085,1.968,9.936,0.883,0.0
228,95,Bryce Lance,WR,NO,LV,3.538,0.0,2.13,9.727,0.894,0.0
229,96,Josh Palmer,WR,BUF,LAC,3.501,0.0,2.09,9.715,0.914,0.0
230,61,Najee Harris,RB,NYG,TEN,3.463,-0.049,1.358,10.273,0.725,0.0
231,62,Jordan Mason,RB,MIN,TB,3.438,0.0,1.411,10.804,0.698,0.0
232,40,Cole Kmet,TE,CHI,PHI,3.433,-0.13,2.228,8.749,0.923,0.0
233,63,Josh Jacobs,RB,GB,ATL,3.358,0.0,0.0,11.04,0.422,0.0
234,97,Tyquan Thornton,WR,KC,MIA,3.335,0.0,1.872,9.514,0.83,0.0
235,98,Chris Bell,WR,MIA,KC,3.315,-0.348,1.626,9.711,0.893,0.0
236,41,Darren Waller,TE,CAR,CLE,3.282,-0.101,1.995,8.765,0.865,0.0
237,42,Noah Gray,TE,KC,MIA,3.274,0.0,2.121,8.76,0.881,0.0
238,43,Mitchell Evans,TE,CAR,CLE,3.212,0.0,2.039,8.383,0.886,0.0
239,44,Durham Smythe,TE,BAL,DAL,3.206,0.0,2.015,8.416,0.885,0.0
240,35,Marcus Mariota,QB,WAS,SEA,3.157,-0.732,0.339,11.527,0.762,0.0
241,99,Chimere Dike,WR,TEN,NYG,3.132,-0.278,1.646,9.329,0.864,0.0
242,100,Chris Moore,WR,BAL,DAL,3.113,-0.428,1.498,9.266,0.878,0.0
243,45,Mason Taylor,TE,NYJ,DET,3.071,0.0,0.0,9.625,0.479,0.0
244,46,Austin Hooper,TE,ATL,GB,3.01,-0.128,1.713,8.388,0.845,0.0
245,101,Marquise Brown,WR,PHI,CHI,3.006,-0.421,1.554,8.717,0.848,0.0
246,36,Mac Jones,QB,SF,ARI,2.978,-0.019,0.0,11.504,0.611,0.0
247,64,Will Shipley,RB,PHI,CHI,2.975,0.0,1.393,7.812,0.929,0.0
248,47,Charlie Kolar,TE,LAC,BUF,2.952,-0.228,1.635,8.505,0.835,0.0
249,48,Theo Johnson,TE,NYG,TEN,2.888,0.0,1.707,8.071,0.78,0.0
250,65,Kaleb Johnson,RB,GB,ATL,2.88,-0.427,1.043,9.389,0.869,0.0
251,49,Mike Gesicki,TE,CIN,PIT,2.869,-0.043,1.729,7.898,0.842,0.0
252,50,Luke Farrell,TE,SF,ARI,2.779,0.0,1.617,8.037,0.791,0.0
253,37,Kenny Pickett,QB,CAR,CLE,2.765,-0.643,0.241,9.939,0.744,0.0
254,102,Troy Franklin,WR,DEN,LA,2.713,-0.143,1.319,8.42,0.896,0.0
255,103,Andrei Iosivas,WR,CIN,PIT,2.637,-0.086,1.157,7.729,0.869,0.0
256,51,Ben Sinnott,TE,WAS,SEA,2.629,-0.065,1.354,7.912,0.744,0.0
257,104,Jalen McMillan,WR,TB,MIN,2.626,0.0,0.0,9.456,0.42,0.0
258,66,Raheim Sanders,RB,CLE,CAR,2.618,-0.289,0.79,8.547,0.76,0.0
259,67,Keaton Mitchell,RB,LAC,BUF,2.518,0.0,0.972,6.884,0.843,0.0
260,52,Eli Raridon,TE,NE,JAX,2.48,-0.256,1.527,7.01,0.886,0.0
261,68,Ty Johnson,RB,BUF,LAC,2.433,0.0,0.626,7.324,0.591,0.0
262,53,Daniel Bellinger,TE,TEN,NYG,2.421,-0.265,1.401,6.973,0.857,0.0
263,38,Tyler Huntley,QB,BAL,DAL,2.411,0.0,0.0,10.907,0.321,0.0
264,105,Josh Cameron,WR,JAX,NE,2.404,0.0,0.838,6.996,0.867,0.0
265,106,Devontez Walker,WR,BAL,DAL,2.394,0.0,0.252,8.26,0.647,0.0
266,54,Will Kacmarek,TE,MIA,KC,2.391,0.0,1.682,6.681,0.899,0.0
267,55,Foster Moreau,TE,HOU,IND,2.381,-0.115,1.44,7.076,0.795,0.0
268,56,Jeremy Ruckert,TE,NYJ,DET,2.354,-0.115,1.427,7.107,0.803,0.0
269,107,Jared Wayne,WR,HOU,IND,2.275,-0.551,0.709,7.573,0.867,0.0
270,57,Brevyn Spann-Ford,TE,DAL,BAL,2.246,0.0,1.508,6.166,0.88,0.0
271,39,Mitchell Trubisky,QB,TEN,NYG,2.241,0.0,0.0,9.615,0.442,0.0
272,108,Olamide Zaccheaus,WR,ATL,GB,2.237,0.0,0.781,6.447,0.85,0.0
273,109,LaJohntay Wester,WR,BAL,DAL,2.232,-0.034,0.674,6.433,0.904,0.0
274,40,Shedeur Sanders,QB,CLE,CAR,2.23,0.0,0.0,10.669,0.325,0.0
275,69,Sione Vaki,RB,DET,NYJ,2.211,-0.348,0.446,7.057,0.837,0.0
276,41,Trey Lance,QB,LAC,BUF,2.165,0.0,0.0,10.199,0.28,0.0
277,58,Blake Whiteheart,TE,CLE,CAR,2.163,-0.204,1.279,6.464,0.808,0.0
278,70,Emari Demercado,RB,DAL,BAL,2.108,-0.399,0.314,6.738,0.85,0.0
279,71,Ameer Abdullah,RB,JAX,NE,2.078,0.011,1.229,5.125,0.925,0.0
280,72,Hunter Luepke,RB,DAL,BAL,2.075,-0.46,0.311,6.728,0.833,0.0
281,59,Johnny Mundt,TE,PHI,CHI,2.038,-0.091,0.15,6.471,0.674,0.0
282,42,Mason Rudolph,QB,PIT,CIN,1.993,0.0,0.0,7.221,0.448,0.0
283,110,Konata Mumpfield,WR,LA,DEN,1.989,-0.301,0.413,6.47,0.883,0.0
284,111,Marvin Mims Jr.,WR,DEN,LA,1.959,-0.218,0.0,6.713,0.648,0.0
285,60,Davis Allen,TE,LA,DEN,1.941,-0.187,1.079,6.363,0.865,0.0
286,73,DeeJay Dallas,RB,MIN,TB,1.94,-0.302,0.344,6.246,0.903,0.0
287,74,DJ Herman,RB,MIA,KC,1.91,0.0,0.232,5.82,0.594,0.0
288,112,Dyami Brown,WR,WAS,SEA,1.894,-0.392,0.294,6.389,0.91,0.0
289,75,Jordan James,RB,SF,ARI,1.891,0.0,0.0,6.531,0.46,0.0
290,76,Isiah Pacheco,RB,DET,NYJ,1.867,0.0,0.0,6.976,0.313,0.0
291,113,Darius Cooper,WR,PHI,CHI,1.866,-0.293,0.376,5.977,0.839,0.0
292,114,Brenen Thompson,WR,LAC,BUF,1.824,0.0,0.412,5.208,0.698,0.0
293,61,Drew Sample,TE,CIN,PIT,1.812,0.0,0.117,5.446,0.63,0.0
294,43,Tua Tagovailoa,QB,ATL,GB,1.79,0.0,0.0,6.648,0.399,0.0
295,62,Eric Saubert,TE,SEA,WAS,1.777,-0.026,0.327,4.927,0.813,0.0
296,77,AJ Dillon,RB,CAR,CLE,1.769,-0.447,0.15,6.162,0.85,0.0
297,115,Jayden Higgins,WR,HOU,IND,1.747,0.0,0.518,5.059,0.68,0.0
298,44,Justin Fields,QB,KC,MIA,1.735,0.0,0.0,5.979,0.342,0.0
299,78,George Holani,RB,SEA,WAS,1.732,0.0,0.321,5.112,0.67,0.0
300,63,Nate Adkins,TE,DEN,LA,1.727,-0.016,0.287,4.662,0.776,0.0
301,79,Jaylen Wright,RB,MIA,KC,1.685,0.0,0.8,4.322,0.845,0.0
302,116,KaVontae Turpin,WR,DAL,BAL,1.67,0.0,0.846,4.01,0.867,0.0
303,117,Skyy Moore,WR,GB,ATL,1.649,-0.051,0.795,3.938,0.926,0.0
304,64,Sam Roush,TE,CHI,PHI,1.638,-0.239,0.036,5.194,0.69,0.0
305,118,Kyle Williams,WR,NE,JAX,1.628,-0.016,0.727,3.866,0.877,0.0
306,119,Ricky Pearsall,WR,SF,ARI,1.626,0.0,0.0,5.543,0.535,0.0
307,80,Brashard Smith,RB,KC,MIA,1.6,-0.43,0.0,5.753,0.679,0.0
308,120,Laquon Treadwell,WR,IND,HOU,1.596,-0.031,0.728,3.911,0.892,0.0
309,121,Tez Johnson,WR,TB,MIN,1.596,-0.642,0.03,5.813,0.89,0.0
310,81,Rasheen Ali,RB,BAL,DAL,1.591,0.0,0.807,4.261,0.825,0.0
311,65,Elijah Higgins,TE,ARI,SF,1.589,-0.029,0.226,4.461,0.752,0.0
312,66,Erick All,TE,CIN,PIT,1.583,0.0,0.0,5.393,0.497,0.0
313,82,Jaleel McLaughlin,RB,CLE,CAR,1.568,-0.474,0.089,4.852,0.839,0.0
314,122,Ja'Kobi Lane,WR,BAL,DAL,1.558,0.0,0.0,5.161,0.456,0.0
315,67,Kylen Granson,TE,TEN,NYG,1.529,0.0,0.136,4.689,0.652,0.0
316,123,Christian Kirk,WR,SF,ARI,1.515,-0.261,0.0,5.385,0.557,0.0
317,83,Reggie Gilliam,RB,NE,JAX,1.495,0.0,0.567,3.998,0.641,0.0
318,124,Omar Cooper Jr.,WR,NYJ,DET,1.493,0.0,0.0,5.451,0.485,0.0
319,68,Brayden Willis,TE,SF,ARI,1.491,-0.063,0.607,4.151,0.828,0.0
320,69,Elijah Arroyo,TE,SEA,WAS,1.484,-0.09,0.0,4.805,0.628,0.0
321,125,Jacob Cowing,WR,SF,ARI,1.453,0.0,0.64,3.465,0.763,0.0
322,70,Brock Wright,TE,DET,NYJ,1.453,-0.155,0.036,4.764,0.685,0.0
323,84,Kendre Miller,RB,NO,LV,1.448,0.0,0.0,5.097,0.461,0.0
324,126,Jordan Whittington,WR,LA,DEN,1.447,-0.377,0.0,4.485,0.693,0.0
325,85,Kimani Vidal,RB,LAC,BUF,1.443,-0.194,0.0,4.755,0.65,0.0
326,127,Xavier Smith,WR,LA,DEN,1.44,-0.299,0.537,3.757,0.908,0.0
327,71,Adam Trautman,TE,DEN,LA,1.422,-0.143,0.0,4.834,0.493,0.0
328,72,John Bates,TE,WAS,SEA,1.407,0.0,0.116,4.235,0.547,0.0
329,73,Jake Tonges,TE,SF,ARI,1.388,0.0,0.0,4.848,0.386,0.0
330,45,Cooper Rush,QB,ATL,GB,1.381,-1.73,0.0,7.328,0.512,0.0
331,74,Tyler Higbee,TE,LA,DEN,1.364,-0.017,0.0,4.403,0.543,0.0
332,128,Zachariah Branch,WR,ATL,GB,1.349,-0.316,0.521,3.595,0.903,0.0
333,86,Tyler Badie,RB,DEN,LA,1.31,-0.158,0.315,3.84,0.737,0.0
334,46,Andy Dalton,QB,PHI,CHI,1.299,0.0,0.0,3.641,0.236,0.0
335,87,CJ Donaldson,RB,NO,LV,1.294,-0.434,0.356,3.924,0.853,0.0
336,88,Nicholas Singleton,RB,TEN,NYG,1.293,-0.269,0.0,4.407,0.659,0.0
337,75,Quintin Morris,TE,JAX,NE,1.291,-0.122,0.407,3.467,0.829,0.0
338,76,Nate Boerkircher,TE,JAX,NE,1.285,0.0,0.0,4.321,0.428,0.0
339,89,Demond Claiborne,RB,MIN,TB,1.282,0.0,0.391,3.531,0.615,0.0
340,77,Andrew Ogletree,TE,IND,HOU,1.27,-0.163,0.259,3.841,0.75,0.0
341,129,Jalen Royals,WR,KC,MIA,1.251,-0.771,0.0,4.792,0.789,0.0
342,90,Ollie Gordon II,RB,MIA,KC,1.25,-0.278,0.289,4.009,0.757,0.0
343,47,J.J. McCarthy,QB,MIN,TB,1.246,0.0,0.0,3.552,0.306,0.0
344,48,Michael Penix Jr.,QB,ATL,GB,1.246,0.0,0.0,3.018,0.154,0.0
345,91,Seth McGowan,RB,IND,HOU,1.216,-0.688,0.101,4.57,0.857,0.0
346,78,Luke Schoonmaker,TE,DAL,BAL,1.203,-0.026,0.0,3.573,0.558,0.0
347,130,Malik Benson,WR,LV,NO,1.193,-0.434,0.347,3.171,0.879,0.0
348,79,Oscar Delp,TE,NO,LV,1.19,-0.408,0.0,4.477,0.674,0.0
349,92,Kaytron Allen,RB,WAS,SEA,1.187,-0.641,0.255,3.771,0.885,0.0
350,131,Calvin Austin III,WR,NYG,TEN,1.172,0.0,0.224,3.119,0.575,0.0
351,80,Ian Thomas,TE,LV,NO,1.158,0.0,0.248,3.268,0.601,0.0
352,93,Malik Davis,RB,DAL,BAL,1.15,0.0,0.0,3.758,0.401,0.0
353,94,Corey Kiner,RB,NE,JAX,1.127,-0.603,0.131,3.767,0.817,0.0
354,81,Charlie Woerner,TE,ATL,GB,1.114,-0.385,0.0,3.736,0.587,0.0
355,132,Cyrus Allen,WR,KC,MIA,1.102,-0.091,0.0,4.009,0.393,0.0
356,133,Travis Hunter,WR,JAX,NE,1.065,0.0,0.0,3.844,0.198,0.0
357,82,Matthew Hibner,TE,BAL,DAL,1.064,0.0,0.0,3.554,0.396,0.0
358,83,Cade Stover,TE,HOU,IND,1.051,0.0,0.0,3.321,0.449,0.0
359,49,Quinn Ewers,QB,JAX,NE,1.039,0.0,0.0,3.5,0.246,0.0
360,95,Kene Nwangwu,RB,NYJ,DET,1.035,0.0,0.0,2.966,0.476,0.0
361,84,Keleki Latu,TE,BUF,LAC,1.029,-0.619,0.0,3.481,0.777,0.0
362,134,Arian Smith,WR,NYJ,DET,1.008,-0.621,0.105,3.07,0.859,0.0
363,85,Luke Musgrave,TE,GB,ATL,0.997,0.0,0.0,3.392,0.416,0.0
364,135,Derius Davis,WR,LAC,BUF,0.996,-0.663,0.0,3.167,0.834,0.0
365,86,Hunter Long,TE,ARI,SF,0.968,-0.46,0.0,3.257,0.695,0.0
366,96,Dylan Sampson,RB,CLE,CAR,0.968,-0.181,0.0,3.308,0.425,0.0
367,136,Gunner Olszewski,WR,NYG,TEN,0.953,-0.571,0.0,2.971,0.742,0.0
368,97,Trey Benson,RB,ARI,SF,0.943,0.0,0.0,2.614,0.253,0.0
369,98,Patrick Ricard,RB,NYG,TEN,0.936,0.0,0.0,3.153,0.428,0.0
370,137,Jonathan Mingo,WR,DAL,BAL,0.921,-0.316,0.0,2.713,0.619,0.0
371,99,Isaiah Davis,RB,NYJ,DET,0.92,-0.486,0.0,2.917,0.653,0.0
372,138,Bo Melton,WR,GB,ATL,0.918,-0.829,0.0,3.134,0.864,0.0
373,139,Odell Beckham Jr.,WR,NYG,TEN,0.901,-0.439,0.0,3.038,0.465,0.0
374,140,Isaiah Bond,WR,CLE,CAR,0.86,-0.57,0.0,2.72,0.696,0.0
375,141,Myles Price,WR,MIN,TB,0.858,-0.961,0.0,3.038,0.864,0.0
376,142,Barion Brown,WR,NO,LV,0.854,-0.807,0.0,2.833,0.872,0.0
377,87,Mo Alie-Cox,TE,IND,HOU,0.853,-0.067,0.0,2.853,0.435,0.0
378,143,Elijah Moore,WR,PHI,CHI,0.847,-0.059,0.0,2.81,0.443,0.0
379,144,Jordyn Tyson,WR,NO,LV,0.846,0.0,0.0,2.248,0.189,0.0
380,100,Bam Knight,RB,ARI,SF,0.843,-0.231,0.0,2.591,0.542,0.0
381,101,Jacob Saylors,RB,DET,NYJ,0.838,-0.741,0.0,3.119,0.695,0.0
382,88,Josh Whyle,TE,GB,ATL,0.833,0.0,0.0,3.048,0.327,0.0
383,102,Dylan Laube,RB,LV,NO,0.832,-1.008,0.0,3.572,0.84,0.0
384,145,John Metchie III,WR,CAR,CLE,0.826,-0.453,0.0,2.381,0.7,0.0
385,103,Ty Chandler,RB,NO,LV,0.825,-0.293,0.0,2.866,0.433,0.0
386,89,Cameron Latu,TE,NE,JAX,0.817,-0.412,0.0,2.747,0.601,0.0
387,50,Davis Mills,QB,HOU,IND,0.807,0.0,0.0,1.862,0.194,0.0
388,104,James Conner,RB,ARI,SF,0.801,0.0,0.0,2.116,0.224,0.0
389,51,Joshua Dobbs,QB,DET,NYJ,0.798,0.0,0.0,1.522,0.153,0.0
390,90,Marlin Klein,TE,HOU,IND,0.791,0.0,0.0,2.628,0.432,0.0
391,146,Jalen Tolbert,WR,MIA,KC,0.788,0.0,0.0,2.516,0.359,0.0
392,52,Tanner McKee,QB,PHI,CHI,0.776,-0.129,0.0,2.032,0.247,0.0
393,147,Kevin Coleman Jr.,WR,MIA,KC,0.775,0.0,0.0,2.328,0.399,0.0
394,53,Fernando Mendoza,QB,LV,NO,0.775,0.0,0.0,0.0,0.105,0.0
395,91,Tyler Conklin,TE,DET,NYJ,0.766,0.0,0.0,2.425,0.331,0.0
396,105,Ronnie Rivers,RB,LA,DEN,0.722,-0.463,0.0,2.369,0.535,0.0
397,106,British Brooks,RB,HOU,IND,0.711,-0.576,0.0,2.534,0.538,0.0
398,148,Tank Dell,WR,HOU,IND,0.7,0.0,0.0,1.862,0.203,0.0
399,107,LeQuint Allen Jr.,RB,JAX,NE,0.687,-0.816,0.0,2.741,0.634,0.0
400,149,Jahdae Walker,WR,CHI,PHI,0.681,-0.072,0.0,2.129,0.465,0.0
401,54,Joe Flacco,QB,CIN,PIT,0.678,0.0,0.0,1.365,0.228,0.0
402,150,Elijah Sarratt,WR,BAL,DAL,0.661,0.0,0.0,1.436,0.149,0.0
403,151,Colbie Young,WR,CIN,PIT,0.66,-0.628,0.0,2.401,0.673,0.0
404,108,Tahj Brooks,RB,CIN,PIT,0.658,0.0,0.0,2.107,0.372,0.0
405,152,De'Zhaun Stribling,WR,SF,ARI,0.624,0.0,0.0,1.546,0.171,0.0
406,153,Tory Horton,WR,SEA,WAS,0.619,0.0,0.0,1.625,0.253,0.0
407,154,Treylon Burks,WR,WAS,SEA,0.603,-0.993,0.0,2.532,0.756,0.0
408,92,Jackson Hawes,TE,BUF,LAC,0.591,0.0,0.0,2.046,0.269,0.0
409,93,David Martin-Robinson,TE,TEN,NYG,0.59,0.0,0.0,1.967,0.331,0.0
410,155,KeAndre Lambert-Smith,WR,LAC,BUF,0.588,-0.499,0.0,1.98,0.512,0.0
411,109,Kyle Juszczyk,RB,SF,ARI,0.572,0.0,0.0,0.435,0.122,0.0
412,110,Brady Russell,RB,SEA,WAS,0.569,-0.28,0.0,1.83,0.333,0.0
413,156,Skyler Bell,WR,BUF,LAC,0.558,0.0,0.0,0.971,0.149,0.0
414,55,Riley Leonard,QB,IND,HOU,0.555,-3.189,0.0,5.762,0.488,0.0
415,111,DJ Giddens,RB,IND,HOU,0.544,0.0,0.0,1.668,0.246,0.0
416,112,Ben VanSumeren,RB,KC,MIA,0.537,0.0,0.0,1.227,0.221,0.0
417,94,Jake Briningstool,TE,KC,MIA,0.523,0.0,0.0,1.66,0.223,0.0
418,95,Jelani Woods,TE,NYJ,DET,0.522,0.0,0.0,1.923,0.226,0.0
419,157,Brock Rechsteiner,WR,NO,LV,0.521,0.0,0.0,0.484,0.121,0.0
420,158,Tim Patrick,WR,NYJ,DET,0.513,0.0,0.0,1.754,0.358,0.0
421,159,Efton Chism III,WR,NE,JAX,0.512,-0.848,0.0,2.03,0.614,0.0
422,56,Cade Klubnik,QB,NYJ,DET,0.512,0.0,0.0,0.0,0.075,0.0
423,160,Tyrell Shavers,WR,BUF,LAC,0.511,0.0,0.0,1.286,0.235,0.0
424,113,Max Bredeson,RB,MIN,TB,0.51,0.0,0.0,0.509,0.124,0.0
425,57,Gardner Minshew,QB,ARI,SF,0.509,0.0,0.0,0.088,0.131,0.0
426,58,Aidan O'Connell,QB,LV,NO,0.505,0.0,0.0,0.203,0.2,0.0
427,161,Chris Blair,WR,ATL,GB,0.504,-1.196,0.0,2.46,0.809,0.0
428,96,Ja'Tavion Sanders,TE,CAR,CLE,0.493,0.0,0.0,1.45,0.285,0.0
429,97,Grant Calcaterra,TE,PHI,CHI,0.488,-0.23,0.0,1.655,0.341,0.0
430,162,KhaDarel Hodge,WR,SF,ARI,0.48,-1.155,0.0,2.375,0.784,0.0
431,163,Lil'Jordan Humphrey,WR,DEN,LA,0.476,-1.037,0.0,2.144,0.698,0.0
432,164,Tutu Atwell,WR,LA,DEN,0.474,-1.133,0.0,2.324,0.771,0.0
433,98,Colson Yankoff,TE,WAS,SEA,0.462,-1.138,0.0,2.201,0.717,0.0
434,114,Tyler Goodson,RB,DAL,BAL,0.444,-0.326,0.0,1.702,0.386,0.0
435,99,Thomas Odukoya,TE,KC,MIA,0.442,0.0,0.0,0.0,0.11,0.0
436,100,Josh Cuevas,TE,BAL,DAL,0.429,0.0,0.0,0.398,0.131,0.0
437,115,Riley Nowakowski,RB,PIT,CIN,0.427,0.0,0.0,0.0,0.123,0.0
438,59,Tyson Bagent,QB,CHI,PHI,0.424,-0.894,0.0,0.326,0.251,0.0
439,116,Julius Chestnut,RB,TEN,NYG,0.421,-1.38,0.0,2.623,0.664,0.0
440,101,Julian Hill,TE,NE,JAX,0.419,0.0,0.0,1.284,0.284,0.0
441,102,Eli Stowers,TE,PHI,CHI,0.417,0.0,0.0,1.192,0.157,0.0
442,60,Spencer Rattler,QB,NO,LV,0.398,0.0,0.0,0.0,0.122,0.0
443,117,Adam Randall,RB,BAL,DAL,0.397,0.0,0.0,0.317,0.123,0.0
444,165,Dohnte Meyers,WR,CIN,PIT,0.383,-1.211,-0.009,2.329,0.865,0.0
445,166,C.J. Williams,WR,JAX,NE,0.38,0.0,0.0,0.0,0.133,0.0
446,167,Kendrick Law,WR,DET,NYJ,0.375,0.0,0.0,0.0,0.14,0.0
447,168,Mason Tipton,WR,NO,LV,0.367,0.0,0.0,0.993,0.243,0.0
448,61,Brady Cook,QB,MIA,KC,0.366,-1.578,0.0,0.863,0.27,0.0
449,118,Michael Burton,RB,CLE,CAR,0.365,0.0,0.0,0.0,0.117,0.0
450,169,David Sills,WR,TB,MIN,0.364,-0.328,0.0,1.418,0.369,0.0
