overall_rank,pos_rank,player,position,team,games_left,expected_games_played,rest_of_season_points,points_per_active_game,points_per_scheduled_game,p10,p50,p90,adp_rank
414,84,Brock Wright,TE,DET,15.0,9.689,15.475,1.597,1.032,0.0,7.103,41.635,
415,166,Ben Skowronek,WR,PIT,15.0,9.47,15.451,1.632,1.03,0.0,8.34,40.955,
416,66,Skylar Thompson,QB,BAL,15.0,0.75,15.258,20.344,1.017,0.0,6.974,41.013,
417,167,Tay Martin,WR,DET,15.0,10.011,15.232,1.522,1.015,0.0,7.42,40.074,
418,168,KeAndre Lambert-Smith,WR,LAC,15.0,5.406,15.072,2.788,1.005,0.0,5.822,40.679,
419,67,Joshua Dobbs,QB,DET,15.0,3.938,14.994,3.807,1.0,0.0,6.457,40.94,
420,101,Kendre Miller,RB,NO,15.0,5.213,14.959,2.87,0.997,0.0,6.559,40.718,
421,169,Kevin Coleman Jr.,WR,MIA,15.0,6.058,14.956,2.469,0.997,0.0,6.304,40.755,
422,85,Cade Stover,TE,HOU,15.0,7.153,14.671,2.051,0.978,0.0,6.581,39.274,
423,68,Zach Wilson,QB,NO,15.0,4.299,14.525,3.378,0.968,0.0,5.365,40.04,
424,86,Ja'Tavion Sanders,TE,CAR,15.0,5.251,14.484,2.758,0.966,0.0,5.266,39.119,
425,170,Jonathan Mingo,WR,DAL,15.0,7.714,14.386,1.865,0.959,0.0,5.064,39.123,
426,87,Eric Saubert,TE,SEA,15.0,10.868,14.108,1.298,0.941,0.0,5.946,40.213,
427,102,Dylan Laube,RB,LV,15.0,11.169,14.028,1.256,0.935,0.0,5.282,39.908,
428,69,Sam Ehlinger,QB,DEN,15.0,0.75,14.0,18.667,0.933,1.202,5.624,37.002,
429,171,Tim Patrick,WR,NYJ,15.0,5.918,13.978,2.362,0.932,0.0,5.157,39.849,
430,70,Anthony Richardson,QB,IND,15.0,2.172,13.93,6.412,0.929,0.0,4.908,38.787,
431,88,Grant Calcaterra,TE,PHI,15.0,5.283,13.857,2.623,0.924,1.214,6.108,33.547,
432,103,Kene Nwangwu,RB,NYJ,15.0,5.604,13.739,2.452,0.916,0.604,5.743,36.559,
433,71,Joe Fagnano,QB,BAL,15.0,2.35,13.729,5.841,0.915,1.046,6.053,35.612,
434,172,Odell Beckham Jr.,WR,NYG,15.0,6.323,13.716,2.169,0.914,0.716,6.042,35.774,
435,173,Dont'e Thornton Jr.,WR,LV,15.0,5.42,13.67,2.522,0.911,1.105,5.883,34.871,
436,174,Kameron Johnson,WR,TB,15.0,10.885,13.511,1.241,0.901,0.07,5.787,35.622,
437,104,Ronnie Rivers,RB,LA,15.0,6.743,13.465,1.997,0.898,0.748,5.477,34.565,
438,105,Trevor Etienne,RB,CAR,15.0,6.563,13.263,2.021,0.884,1.233,6.308,34.101,
439,106,Patrick Ricard,RB,NYG,15.0,7.402,13.23,1.787,0.882,0.0,5.35,34.657,
440,175,Ke'Shawn Williams,WR,CIN,15.0,6.089,13.179,2.164,0.879,0.47,5.568,34.466,
441,72,Behren Morton,QB,NE,15.0,2.35,13.177,5.607,0.878,0.0,5.363,34.198,
442,107,Jeremy McNichols,RB,WAS,15.0,6.108,13.054,2.137,0.87,0.453,4.857,35.443,
443,176,J. Michael Sturdivant,WR,GB,15.0,8.22,13.009,1.583,0.867,0.69,5.453,34.522,
444,73,Kurtis Rourke,QB,SF,15.0,2.35,12.857,5.47,0.857,0.0,4.626,34.509,
445,89,Charlie Woerner,TE,ATL,15.0,8.284,12.832,1.549,0.855,0.62,5.226,33.545,
446,90,Marlin Klein,TE,HOU,15.0,5.864,12.823,2.187,0.855,0.0,4.225,34.11,
447,74,Garrett Nussmeier,QB,KC,15.0,2.35,12.77,5.433,0.851,0.0,4.508,34.208,
448,75,Kyle Allen,QB,BUF,15.0,2.318,12.591,5.431,0.839,0.0,4.524,33.775,
449,91,David Martin-Robinson,TE,TEN,15.0,5.184,12.572,2.425,0.838,0.0,4.359,33.345,
450,76,Ty Simpson,QB,LA,15.0,2.35,12.523,5.328,0.835,0.0,5.059,32.859,
451,177,Tai Felton,WR,MIN,15.0,5.209,12.501,2.4,0.833,0.0,5.22,32.897,
452,77,Stetson Bennett,QB,LA,15.0,3.7,12.488,3.375,0.833,0.0,4.7,34.267,
453,78,Taylen Green,QB,CLE,15.0,2.35,12.45,5.297,0.83,0.0,5.024,34.557,
454,108,Sean Tucker,RB,TB,15.0,6.012,12.442,2.07,0.829,0.051,5.279,33.123,
455,178,Tom Kennedy,WR,DET,15.0,10.54,12.408,1.177,0.827,0.0,4.795,33.653,
456,79,Cole Payton,QB,PHI,15.0,2.35,12.385,5.269,0.826,0.0,4.626,34.154,
457,80,Haynes King,QB,CAR,15.0,2.35,12.361,5.259,0.824,0.0,4.62,33.791,
458,179,Devin Duvernay,WR,ARI,15.0,11.924,12.338,1.035,0.823,0.284,4.849,32.466,
459,81,Kyle McCord,QB,MIA,15.0,2.35,12.254,5.214,0.817,0.0,5.25,32.186,
460,82,Matthew Caldwell,QB,LA,15.0,2.35,12.248,5.211,0.817,0.0,4.43,33.248,
461,83,Cade Klubnik,QB,NYJ,15.0,2.35,12.128,5.16,0.809,0.0,4.35,33.335,
462,180,Jalen Brooks,WR,ARI,15.0,8.363,12.12,1.449,0.808,0.0,4.192,33.626,
463,109,Brady Russell,RB,SEA,15.0,5.592,12.077,2.16,0.805,0.0,4.371,33.538,
464,110,Ty Chandler,RB,NO,15.0,5.211,12.041,2.311,0.803,0.0,4.941,32.527,
465,84,Jalon Daniels,QB,TB,15.0,2.35,12.014,5.111,0.801,0.0,4.159,33.945,
466,92,Brayden Willis,TE,SF,15.0,9.974,12.012,1.204,0.801,0.0,4.053,33.383,
467,111,Jacob Saylors,RB,DET,15.0,9.582,11.956,1.248,0.797,0.0,4.147,34.516,
468,93,Andrew Ogletree,TE,IND,15.0,9.35,11.95,1.278,0.797,0.154,4.771,32.277,
469,85,Drew Allar,QB,PIT,15.0,2.35,11.882,5.055,0.792,0.0,3.946,34.022,
470,86,Carson Beck,QB,ARI,15.0,2.35,11.862,5.047,0.791,0.0,3.954,33.034,
471,181,Jake Bobo,WR,SEA,15.0,4.472,11.613,2.597,0.774,0.0,3.391,32.863,
472,94,Cameron Latu,TE,NE,15.0,7.552,11.549,1.529,0.77,0.826,4.058,29.257,
473,87,Will Howard,QB,PIT,15.0,2.35,11.523,4.903,0.768,0.0,4.407,31.737,
474,182,Savion Williams,WR,GB,15.0,4.073,11.5,2.823,0.767,0.0,2.663,33.514,
475,112,Chris Collier,RB,LV,15.0,4.282,11.495,2.685,0.766,0.0,3.026,34.152,
476,88,Athan Kaliakmanis,QB,WAS,15.0,2.35,11.487,4.887,0.766,0.0,3.941,31.876,
477,113,Tyler Goodson,RB,DAL,15.0,6.755,11.351,1.681,0.757,0.0,1.962,32.265,
478,183,Nikko Remigio,WR,KC,15.0,9.105,11.293,1.24,0.753,0.0,2.799,32.468,
479,89,Graham Mertz,QB,HOU,15.0,2.35,10.974,4.669,0.732,0.0,2.933,31.438,
480,90,Jalen Milroe,QB,SEA,15.0,1.451,10.911,7.52,0.727,0.791,3.965,28.366,
481,184,Ashton Dulin,WR,IND,15.0,7.323,10.852,1.482,0.723,0.0,2.515,32.282,
482,95,Tyler Conklin,TE,DET,15.0,5.662,10.743,1.897,0.716,0.767,4.048,28.662,
483,185,Johnny Wilson,WR,PHI,15.0,2.449,10.502,4.288,0.7,0.134,3.433,27.412,
484,186,Zavion Thomas,WR,CHI,15.0,8.091,10.494,1.297,0.7,0.0,2.813,30.192,
485,114,Roschon Johnson,RB,CHI,15.0,5.865,10.443,1.781,0.696,0.0,2.125,30.72,
486,115,British Brooks,RB,HOU,15.0,7.582,10.332,1.363,0.689,0.663,3.87,28.234,
487,187,D.J. Montgomery,WR,IND,15.0,1.547,10.253,6.626,0.684,0.0,2.191,31.267,
488,96,Payne Durham,TE,TB,15.0,4.437,10.153,2.288,0.677,0.483,3.667,26.622,
489,116,Isaac Guerendo,RB,SF,15.0,3.768,10.071,2.673,0.671,0.0,3.255,27.718,
490,188,Montorie Foster Jr,WR,SEA,15.0,5.745,10.057,1.751,0.67,0.0,2.324,29.09,
491,117,Julius Chestnut,RB,TEN,15.0,9.024,9.991,1.107,0.666,0.0,1.85,29.158,
492,97,Ben Yurosek,TE,MIN,15.0,4.082,9.962,2.44,0.664,0.0,3.087,27.466,
493,98,Jake Tonges,TE,SF,15.0,3.876,9.861,2.544,0.657,0.025,3.331,26.053,
494,99,Hunter Long,TE,ARI,15.0,8.318,9.835,1.182,0.656,0.0,2.001,29.199,
495,118,Ben VanSumeren,RB,KC,15.0,5.144,9.747,1.895,0.65,0.0,2.186,30.116,
496,100,Jelani Woods,TE,NYJ,15.0,3.331,9.65,2.897,0.643,0.0,2.539,26.621,
497,91,Jarrett Stidham,QB,DEN,15.0,1.669,9.487,5.683,0.632,0.0,2.925,27.401,
498,119,Robbie Ouzts,RB,SEA,15.0,2.731,9.44,3.457,0.629,0.0,2.904,25.574,
499,101,Carsen Ryan,TE,CLE,15.0,5.745,9.384,1.633,0.626,0.0,2.617,25.185,
500,189,Kendrick Law,WR,DET,15.0,2.35,9.373,3.988,0.625,0.721,3.919,25.03,
501,190,Mason Tipton,WR,NO,15.0,4.309,9.364,2.173,0.624,0.0,2.48,26.074,
502,120,Kyle Juszczyk,RB,SF,15.0,2.35,9.342,3.975,0.623,0.786,3.948,24.625,
503,102,Bauer Sharp,TE,TB,15.0,5.766,9.168,1.59,0.611,0.0,2.085,26.295,
504,191,Reggie Virgil,WR,ARI,15.0,2.35,9.096,3.87,0.606,0.793,4.029,22.424,
505,192,Elijah Sarratt,WR,BAL,15.0,2.35,9.054,3.852,0.604,0.0,1.959,25.195,
506,193,Jeff Caldwell,WR,KC,15.0,2.35,9.008,3.833,0.601,0.718,3.941,23.61,
507,121,Chip Trayanum,RB,NYJ,15.0,2.35,8.991,3.826,0.599,0.611,3.73,24.602,
508,103,Nick Kallerup,TE,SEA,15.0,2.596,8.925,3.437,0.595,0.396,3.623,24.311,
509,122,Andrew Beck,RB,NYJ,15.0,2.35,8.845,3.763,0.59,0.486,3.65,24.078,
