overall_rank,pos_rank,player,position,team,games_left,expected_games_played,rest_of_season_points,points_per_active_game,points_per_scheduled_game,p10,p50,p90,adp_rank
571,137,Brevin Jordan,TE,HOU,15.0,1.235,6.89,5.58,0.459,0.0,1.456,20.868,
572,138,Carter Runyon,TE,LV,15.0,2.516,6.867,2.729,0.458,0.0,0.712,21.392,
573,139,DJ Rogers,TE,DAL,15.0,2.35,6.696,2.849,0.446,0.0,1.957,19.915,
574,140,Jared Wiley,TE,KC,15.0,3.076,6.611,2.15,0.441,0.0,0.99,21.673,
575,141,Princeton Fant,TE,DAL,15.0,3.073,6.381,2.076,0.425,0.429,3.83,16.08,
576,210,Justin Shorter,WR,LV,15.0,2.588,6.364,2.459,0.424,0.0,0.738,19.806,
577,142,Nikola Kalinic,TE,CHI,15.0,3.801,6.314,1.661,0.421,0.0,1.075,19.696,
578,143,Nick Muse,TE,ATL,15.0,3.717,5.938,1.598,0.396,0.0,0.0,18.982,
579,211,Irvin Charles,WR,SEA,15.0,1.178,5.937,5.039,0.396,0.0,0.0,19.939,
580,212,Jordan Watkins,WR,SF,15.0,1.656,5.86,3.538,0.391,0.0,0.471,18.305,
581,144,Thomas Fidone II,TE,NYG,15.0,1.242,5.022,4.042,0.335,0.0,2.138,14.097,
