Team,Win Total,Over Odds,Under Odds,Week Bet Settled,Actual Wins,Result
Arizona Cardinals,7.0,-130,110,Week 18,8,Over
Atlanta Falcons,9.5,-130,110,Week 17,8,Under
Baltimore Ravens,10.5,100,-120,Week 17,12,Over
Buffalo Bills,10.0,-110,-110,Week 15,13,Over
Carolina Panthers,5.5,-130,110,Week 17,5,Under
Chicago Bears,8.5,-165,145,Week 14,5,Under
Cincinnati Bengals,10.5,100,-120,Week 11,9,Under
Cleveland Browns,8.5,-145,125,Week 13,3,Under
Dallas Cowboys,10.0,115,-135,Week 14,7,Under
Denver Broncos,5.5,-170,150,Week 11,10,Over
Detroit Lions,10.5,-130,110,Week 13,15,Over
Green Bay Packers,10.0,100,-120,Week 16,11,Over
Houston Texans,9.5,-140,120,Week 18,10,Over
Indianapolis Colts,8.5,115,-135,Week 14,8,Under
Jacksonville Jaguars,8.5,-110,-110,Week 11,4,Under
Kansas City Chiefs,11.5,-110,-110,Week 14,15,Over
Las Vegas Raiders,6.5,-125,105,Week 14,4,Under
Los Angeles Chargers,9.0,115,-135,Week 17,11,Over
Los Angeles Rams,8.5,-170,150,Week 16,10,Over
Miami Dolphins,10.0,100,-120,Week 15,8,Under
Minnesota Vikings,6.5,-140,120,Week 10,14,Over
New England Patriots,4.5,-110,-110,Week 17,4,Under
New Orleans Saints,7.5,-110,-110,Week 16,5,Under
New York Giants,6.5,130,-150,Week 14,3,Under
New York Jets,9.5,-140,120,Week 11,5,Under
Philadelphia Eagles,10.5,-150,130,Week 14,14,Over
Pittsburgh Steelers,8.0,-140,120,Week 13,10,Over
San Francisco 49ers,11.5,140,-160,Week 12,6,Under
Seattle Seahawks,7.5,-160,140,Week 14,10,Over
Tampa Bay Buccaneers,7.5,-140,120,Week 15,10,Over
Tennessee Titans,6.5,120,-140,Week 15,3,Under
Washington Commanders,6.5,-110,-110,Week 9,12,Over
