Team,Win Total,Over Odds,Under Odds,Week Bet Settled,Actual Wins,Result
Arizona Cardinals,8.5,-125,105,Week 13,3,Under
Atlanta Falcons,8.5,110,-130,Week 14,8,Under
Baltimore Ravens,11.5,-118,-102,Week 13,8,Under
Buffalo Bills,12.5,115,-135,Week 17,12,Under
Carolina Panthers,6.5,-140,118,Week 13,8,Over
Chicago Bears,8.5,115,-140,Week 13,11,Over
Cincinnati Bengals,9.5,-115,-105,Week 12,6,Under
Cleveland Browns,4.5,-150,125,Week 18,5,Over
Dallas Cowboys,7.5,110,-130,Week 18,7,Under
Denver Broncos,9.5,-120,100,Week 13,14,Over
Detroit Lions,10.5,110,-135,Week 16,9,Under
Green Bay Packers,10.5,100,-130,Week 17,9,Under
Houston Texans,9.5,105,-125,Week 16,12,Over
Indianapolis Colts,7.5,100,-120,Week 10,8,Over
Jacksonville Jaguars,7.5,-135,115,Week 13,13,Over
Kansas City Chiefs,11.5,118,-140,Week 13,6,Under
Las Vegas Raiders,6.5,-150,125,Week 14,3,Under
Los Angeles Chargers,9.5,100,-120,Week 15,11,Over
Los Angeles Rams,9.5,-145,120,Week 14,12,Over
Miami Dolphins,7.5,-110,-110,Week 18,7,Under
Minnesota Vikings,9.5,115,-140,Week 13,9,Under
New England Patriots,8.5,-110,-110,Week 11,14,Over
New Orleans Saints,4.5,-145,120,Week 16,6,Over
New York Giants,5.5,-120,100,Week 15,5,Under
New York Jets,6.5,120,-145,Week 15,3,Under
Philadelphia Eagles,11.5,105,-125,Week 18,11,Under
Pittsburgh Steelers,8.5,-120,100,Week 16,10,Over
San Francisco 49ers,10.5,-102,-118,Week 16,12,Over
Seattle Seahawks,8.5,105,-125,Week 13,14,Over
Tampa Bay Buccaneers,9.5,-115,-105,Week 16,8,Under
Tennessee Titans,6.5,120,-145,Week 13,3,Under
Washington Commanders,9.5,-105,-115,Week 11,5,Under
