Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
1,Christian McCaffrey   SF (11),RB1,1,,,,1,1,1.0
2,Saquon Barkley   PHI (9),RB2,2,,,,2,2,2.0
3,Ezekiel Elliott,RB3,3,,,,3,3,3.0
4,Dalvin Cook,RB4,4,,,,4,6,4.8
5,Michael Thomas,WR1,6,,,,6,4,5.0
6,Alvin Kamara   NO (6),RB5,5,,,,5,5,5.3
7,Derrick Henry   BAL (7),RB6,7,,,,7,8,7.3
8,Davante Adams   LAR (9),WR2,14,,,,13,7,11.3
9,Josh Jacobs   GB (5),RB7,9,,,,12,18,12.0
10,Joe Mixon,RB8,22,,,,9,10,12.8
11,Clyde Edwards-Helaire,RB9,8,,,,8,32,14.0
12,Miles Sanders,RB10,12,,,,10,20,14.0
13,Austin Ekeler,RB11,21,,,,11,13,14.3
14,Tyreek Hill,WR3,13,,,,17,12,14.8
15,Nick Chubb,RB12,10,,,,18,16,15.0
16,Kenyan Drake,RB13,16,,,,14,17,15.0
17,Julio Jones,WR4,15,,,,20,11,15.3
18,DeAndre Hopkins   BAL (7),WR5,19,,,,15,9,15.5
19,Aaron Jones Sr.   MIN (7),RB14,18,,,,16,21,18.3
20,Travis Kelce   KC (10),TE1,20,,,,19,15,18.8
21,Patrick Mahomes II   KC (10),QB1,11,,,,22,27,20.0
22,Chris Godwin Jr.   TB (13),WR6,24,,,,23,14,20.8
23,Lamar Jackson   BAL (7),QB2,17,,,,21,22,21.0
24,George Kittle   SF (11),TE2,23,,,,25,19,23.3
25,Kenny Golladay,WR7,27,,,,27,23,26.0
26,Mike Evans   SF (11),WR8,25,,,,31,24,27.0
27,Chris Carson,RB15,31,,,,24,41,30.3
28,DJ Moore   BUF (11),WR9,29,,,,30,29,30.3
29,Todd Gurley II,RB16,32,,,,28,33,30.8
30,Allen Robinson II,WR10,34,,,,35,25,32.0
31,Odell Beckham Jr.   NYG (11),WR11,33,,,,34,26,32.0
32,Adam Thielen,WR12,26,,,,36,36,32.3
