Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
1,David Johnson,RB1,1,,,,,1,1.0
2,Le'Veon Bell,RB2,2,,,,,2,2.0
3,Antonio Brown,WR1,3,,,,,3,3.0
4,Julio Jones,WR2,4,,,,,4,4.0
5,Odell Beckham Jr.   NYG (8),WR3,5,,,,,6,5.2
6,LeSean McCoy,RB3,6,,,,,5,6.4
7,Mike Evans   SF (11),WR4,9,,,,,7,7.0
8,A.J. Green,WR5,10,,,,,9,8.6
9,Devonta Freeman,RB4,8,,,,,10,9.4
10,Melvin Gordon III,RB5,11,,,,,8,9.6
11,Jordy Nelson,WR6,7,,,,,12,10.4
12,Michael Thomas,WR7,12,,,,,11,12.0
13,Jordan Howard,RB6,13,,,,,15,14.4
14,DeMarco Murray,RB7,14,,,,,14,14.4
15,Jay Ajayi,RB8,15,,,,,19,15.0
16,Ezekiel Elliott,RB9,21,,,,,13,15.4
17,Amari Cooper,WR8,19,,,,,16,18.0
18,Todd Gurley II,RB10,18,,,,,17,18.6
19,Brandin Cooks,WR9,16,,,,,23,19.8
20,Rob Gronkowski,TE1,17,,,,,22,19.8
21,Dez Bryant,WR10,24,,,,,20,20.2
22,Aaron Rodgers   PIT (9),QB1,20,,,,,18,22.8
23,Doug Baldwin,WR11,23,,,,,25,22.8
24,Leonard Fournette,RB11,26,,,,,21,24.8
25,T.Y. Hilton,WR12,25,,,,,28,26.2
26,Christian McCaffrey   SF (11),RB12,30,,,,,24,27.2
27,DeAndre Hopkins   BAL (10),WR13,29,,,,,27,28.2
28,Demaryius Thomas,WR14,32,,,,,32,30.2
29,Lamar Miller,RB13,27,,,,,26,30.6
30,Tom Brady,QB2,22,,,,,31,30.8
31,Keenan Allen   IND (11),WR15,40,,,,,40,32.6
32,Terrelle Pryor Sr.,WR16,31,,,,,39,33.4
33,Isaiah Crowell,RB14,36,,,,,38,33.8
34,Dalvin Cook,RB15,42,,,,,41,34.2
35,Marshawn Lynch,RB16,28,,,,,30,35.8
36,Travis Kelce   KC (10),TE2,41,,,,,29,36.0
37,Alshon Jeffery,WR17,35,,,,,36,37.0
38,Kareem Hunt,RB17,33,,,,,37,38.2
39,Michael Crabtree,WR18,37,,,,,43,41.0
40,Carlos Hyde,RB18,38,,,,,45,41.4
41,Davante Adams   LAR (8),WR19,48,,,,,35,41.6
42,Ty Montgomery II,RB19,45,,,,,48,42.0
43,Drew Brees,QB3,34,,,,,34,42.8
44,Joe Mixon,RB20,57,,,,,33,43.8
45,Golden Tate,WR20,47,,,,,47,46.4
46,Allen Robinson II,WR21,60,,,,,42,47.2
47,Larry Fitzgerald,WR22,44,,,,,56,47.8
48,Greg Olsen,TE3,43,,,,,46,48.0
49,Tyreek Hill,WR23,54,,,,,58,50.4
50,Jordan Reed,TE4,46,,,,,51,50.6
51,Kelvin Benjamin,WR24,49,,,,,62,51.2
52,Martavis Bryant,WR25,58,,,,,52,51.2
53,Jarvis Landry,WR26,52,,,,,44,52.8
54,Mark Ingram II,RB21,55,,,,,53,55.6
55,Matt Ryan,QB4,39,,,,,50,56.0
56,Stefon Diggs   WAS (5),WR27,67,,,,,64,56.8
57,Jimmy Graham,TE5,53,,,,,59,58.0
58,Bilal Powell,RB22,56,,,,,63,58.8
59,Sammy Watkins,WR28,63,,,,,55,59.0
60,Emmanuel Sanders,WR29,50,,,,,60,60.0
61,C.J. Anderson,RB23,69,,,,,57,60.8
62,DeVante Parker,WR30,71,,,,,54,61.4
63,Russell Wilson,QB5,51,,,,,70,63.8
64,Jamison Crowder,WR31,59,,,,,78,63.8
65,Ameer Abdullah   JAC (8),RB24,75,,,,,61,64.0
66,Brandon Marshall,WR32,68,,,,,65,67.0
67,Danny Woodhead,RB25,65,,,,,85,67.8
68,Pierre Garcon,WR33,70,,,,,79,70.0
69,Tevin Coleman,RB26,90,,,,,49,71.2
70,Kyle Rudolph,TE6,72,,,,,67,74.2
71,Adrian Peterson,RB27,62,,,,,87,75.4
72,Doug Martin,RB28,97,,,,,86,76.0
73,Mike Gillislee,RB29,77,,,,,82,77.8
74,Delanie Walker,TE7,66,,,,,73,78.4
75,Zach Ertz,TE8,82,,,,,71,78.4
76,Tyler Eifert,TE9,95,,,,,83,78.8
77,Frank Gore,RB30,64,,,,,76,80.8
78,Jameis Winston   NYG (8),QB6,89,,,,,66,81.4
79,Theo Riddick,RB31,81,,,,,77,82.8
80,Robert Kelley,RB32,78,,,,,81,83.6
81,Kirk Cousins   LV,QB7,74,,,,,91,84.4
82,Paul Perkins,RB33,88,,,,,68,84.6
83,Jeremy Maclin,WR34,86,,,,,101,84.6
84,Willie Snead IV,WR35,119,,,,,75,84.8
85,Marcus Mariota   WAS (5),QB8,92,,,,,93,84.8
86,Derek Carr,QB9,76,,,,,94,85.2
87,Cam Newton,QB10,61,,,,,103,86.8
88,DeSean Jackson,WR36,80,,,,,105,87.2
89,Martellus Bennett,TE10,85,,,,,74,89.8
90,Derrick Henry   BAL (10),RB34,130,,,,,69,90.0
91,Eric Decker,WR37,87,,,,,89,90.4
92,Randall Cobb,WR38,94,,,,,88,90.6
93,Duke Johnson Jr.,RB35,104,,,,,80,92.8
94,Tyrell Williams,WR39,112,,,,,84,93.0
95,Terrance West,RB36,84,,,,,109,95.4
96,Andrew Luck,QB11,110,,,,,104,99.6
97,Adam Thielen,WR40,108,,,,,90,100.8
98,Eddie Lacy,RB37,91,,,,,96,101.6
99,LeGarrette Blount,RB38,106,,,,,97,102.6
100,Darren McFadden,RB39,93,,,,,137,103.0
101,Chris Hogan,WR41,99,,,,,129,103.6
102,Ben Roethlisberger,QB12,102,,,,,102,104.0
103,Hunter Henry   NE (9),TE11,120,,,,,92,106.2
104,James White,RB40,118,,,,,95,107.8
105,Corey Coleman,WR42,132,,,,,98,109.0
106,Dak Prescott   DAL (6),QB13,73,,,,,118,109.8
107,Matthew Stafford   LAR (8),QB14,98,,,,,99,113.6
108,Thomas Rawls,RB41,124,,,,,108,114.2
109,Marvin Jones Jr.,WR43,137,,,,,110,117.2
110,Jonathan Stewart,RB42,113,,,,,122,117.6
111,Rishard Matthews,WR44,121,,,,,120,119.6
112,Philip Rivers,QB15,123,,,,,114,120.4
113,Jordan Matthews,TE12,136,,,,,128,120.6
114,Matt Forte,RB43,109,,,,,113,121.4
115,Eric Ebron,TE13,154,,,,,107,121.6
116,Darren Sproles,RB44,122,,,,,126,121.6
117,John Brown,WR45,149,,,,,121,121.8
118,Donte Moncrief,WR46,103,,,,,72,84.0
119,Jack Doyle,TE14,133,,,,,124,127.4
120,Stephen Gostkowski,K1,96,,,,,127,127.8
121,Justin Tucker,K2,100,,,,,133,128.4
122,C.J. Prosise,RB45,153,,,,,116,129.4
123,Jacquizz Rodgers,RB46,146,,,,,136,131.0
124,Ted Ginn Jr.,WR47,128,,,,,155,131.4
125,Eli Manning,QB16,127,,,,,131,137.2
126,Jason Witten,TE15,117,,,,,156,138.0
127,Andy Dalton   PHI (10),QB17,141,,,,,143,138.4
128,Kevin White,WR48,145,,,,,141,138.8
129,Jamaal Charles,RB47,161,,,,,115,140.4
130,Kenny Britt,WR49,111,,,,,100,106.3
131,Mike Wallace,WR50,101,,,,,106,108.3
132,Cooper Kupp   SEA (6),WR51,162,,,,,139,144.4
133,Austin Hooper   ATL (5),TE16,159,,,,,150,145.0
134,Rex Burkhead,RB48,174,,,,,154,145.4
135,Denver Broncos DST   (5),DST1,83,,,,,,112.0
136,Carson Palmer,QB18,142,,,,,142,149.2
137,Jeremy Hill,RB49,176,,,,,138,150.2
138,Corey Davis,WR52,140,,,,,111,117.3
139,Zay Jones,WR53,125,,,,,117,128.3
140,Samaje Perine   CIN (6),RB50,,,,,,119,129.8
141,Jamaal Williams,RB51,,,,,,132,135.3
142,Alvin Kamara   NO (5),RB52,183,,,,,214,167.4
143,Matt Bryant,K3,114,,,,,149,139.8
144,O.J. Howard,TE17,152,,,,,112,144.0
145,Dan Bailey,K4,131,,,,,147,145.3
146,Giovani Bernard,RB53,138,,,,,145,146.0
147,Carson Wentz   MIN (9),QB19,135,,,,,135,146.3
148,Sterling Shepard,WR54,170,,,,,123,146.8
149,Coby Fleener,TE18,156,,,,,148,149.8
150,Seattle Seahawks DST   (6),DST2,79,,,,,,109.3
151,Cole Beasley,WR55,150,,,,,152,153.8
152,Latavius Murray,RB54,165,,,,,130,156.8
153,Tyler Lockett   LV,WR56,167,,,,,140,160.0
154,New York Giants DST   (8),DST3,171,,,,,,160.3
155,Evan Engram   DEN (5),TE19,151,,,,,146,160.3
156,Tyrod Taylor   GB (8),QB20,164,,,,,151,162.3
157,Kansas City Chiefs DST   (10),DST4,107,,,,,,123.0
158,Houston Texans DST   (7),DST5,105,,,,,,123.3
159,Julius Thomas,TE20,160,,,,,162,163.8
160,Mason Crosby,K5,157,,,,,190,166.3
161,Josh Doctson,WR57,185,,,,,164,166.3
162,Cameron Brate,TE21,158,,,,,180,170.3
163,Wendell Smallwood,RB55,,,,,,176,171.5
164,Taylor Gabriel,WR58,169,,,,,157,172.3
165,Minnesota Vikings DST   (9),DST6,116,,,,,,136.3
166,Arizona Cardinals DST   (8),DST7,129,,,,,,139.3
167,New England Patriots DST   (9),DST8,134,,,,,,140.3
168,Antonio Gates,TE22,143,,,,,183,177.0
169,Shane Vereen,RB56,193,,,,,166,177.5
170,Robbie Chosen,WR59,,,,,,134,144.7
171,Carolina Panthers DST   (11),DST9,115,,,,,,145.7
172,Mohamed Sanu Sr.,WR60,163,,,,,198,180.5
173,Adam Vinatieri,K6,126,,,,,182,147.3
174,Kenny Stills,WR61,186,,,,,163,181.8
175,Joe Flacco   CIN (6),QB21,144,,,,,187,183.8
176,Kendall Wright,WR62,191,,,,,181,186.0
177,Danny Amendola,WR63,147,,,,,291,192.3
178,Marqise Lee,WR64,196,,,,,170,190.8
179,Chris Thompson,RB57,177,,,,,235,191.8
180,Kenny Golladay,WR65,,,,,,153,161.7
181,John Ross,WR66,,,,,,125,162.3
182,Matt Prater,K7,166,,,,,206,172.3
183,Pittsburgh Steelers DST   (9),DST10,139,,,,,,173.3
184,Wil Lutz   DEN (5),K8,195,,,,,193,176.3
185,Jared Cook,TE23,148,,,,,255,206.0
186,Charles Sims,RB58,197,,,,,217,206.3
187,Jacksonville Jaguars DST   (8),DST11,173,,,,,,181.3
188,Marlon Mack,RB59,,,,,,208,183.0
189,Torrey Smith,WR67,178,,,,,266,209.5
190,D'Onta Foreman,RB60,,,,,,195,186.0
191,Cairo Santos   CHI (9),K9,192,,,,,226,189.7
192,Los Angeles Rams DST   (8),DST12,181,,,,,,190.0
193,Breshad Perriman,WR68,,,,,,159,192.0
194,Jay Cutler,QB22,,,,,,211,192.7
195,Baltimore Ravens DST   (10),DST13,168,,,,,,193.0
