Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
196,Dion Lewis,RB61,,,,,,201,193.0
197,Philadelphia Eagles DST   (10),DST14,182,,,,,,194.7
198,DeAndre Washington,RB62,,,,,,228,195.3
199,J.J. Nelson,WR69,,,,,,167,196.3
200,James Conner   ARI (8),RB63,,,,,,172,196.3
201,Atlanta Falcons DST   (5),DST15,155,,,,,,197.0
202,Charcandrick West,RB64,187,,,,,280,218.8
203,Sebastian Janikowski,K10,172,,,,,264,198.0
204,Sam Bradford,QB23,,,,,,202,198.0
205,Dustin Hopkins,K11,188,,,,,219,198.7
206,Malcolm Mitchell,WR70,,,,,,168,201.0
207,C.J. Fiedorowicz,TE24,,,,,,251,203.7
208,David Njoku   LAC (9),TE25,,,,,,169,204.0
209,Brandon LaFell,WR71,,,,,,160,204.7
210,Allen Hurns,WR72,,,,,,161,205.7
211,Devin Funchess,WR73,,,,,,215,207.0
212,Julian Edelman,WR74,,,,,,370,212.0
213,Jonathan Williams,RB65,,,,,,,171.5
214,Spencer Ware,RB66,,,,,,372,217.0
215,Jalen Richard,RB67,,,,,,165,210.3
216,Deshaun Watson   CLE (9),QB24,,,,,,174,210.7
217,Joe Williams,RB68,,,,,,144,174.5
218,Robert Woods,WR75,,,,,,205,211.0
219,Chris Carson,RB69,,,,,,207,211.7
220,Cincinnati Bengals DST   (6),DST16,184,,,,,,213.7
221,T.J. Yeldon,RB70,,,,,,171,214.7
222,Cameron Meredith,WR76,,,,,,371,224.5
223,Los Angeles Chargers DST   (9),DST17,175,,,,,,216.3
224,Blair Walsh,K12,180,,,,,247,216.3
225,De'Angelo Henderson Sr.,RB71,,,,,,179,218.0
226,ArDarius Stewart,WR77,,,,,,158,218.3
227,Chris Boswell   PIT (9),K13,189,,,,,239,218.3
228,Mike Williams,WR78,,,,,,191,218.7
229,Devontae Booker,RB72,,,,,,188,225.3
230,Tavon Austin,WR79,,,,,,184,225.7
231,Graham Gano,K14,,,,,,199,197.0
232,Jesse James,TE26,,,,,,175,197.5
233,Tarik Cohen,RB73,,,,,,204,226.3
234,William Fuller V,WR80,,,,,,200,226.7
235,Matt Breida,RB74,,,,,,234,228.7
236,Jaron Brown,WR81,,,,,,233,229.7
237,Branden Oliver,RB75,,,,,,186,230.3
238,Curtis Samuel,WR82,,,,,,192,230.3
239,Charles Clay,TE27,,,,,,297,234.7
240,Austin Seferian-Jenkins,TE28,,,,,,222,230.7
241,Paul Richardson Jr.,WR83,,,,,,262,230.7
242,Chris Conley,WR84,,,,,,194,231.0
243,Stephen Hauschka,K15,,,,,,249,207.0
244,Kenyan Drake,RB76,,,,,,173,207.0
245,Alex Smith,QB25,,,,,,257,234.0
246,Kyle Juszczyk   SF (11),RB77,,,,,,227,234.0
247,Caleb Sturgis,K16,194,,,,,253,236.0
248,Zach Zenner,RB78,,,,,,177,214.5
249,Dwayne Allen,TE29,,,,,,240,239.0
250,Brandon McManus,K17,,,,,,241,217.5
251,Chris Ivory,RB79,,,,,,189,218.5
252,Jimmy Garoppolo   LAR (8),QB26,,,,,,178,219.0
253,Kerwynn Williams,RB80,,,,,,203,222.5
254,Robert Turbin,RB81,,,,,,290,245.3
255,Vance McDonald,TE30,,,,,,324,258.3
256,Nelson Agholor,WR85,,,,,,277,245.3
257,Blake Bortles,QB27,,,,,,300,251.7
258,Chris Godwin Jr.   TB (1),WR86,,,,,,210,229.0
259,Mitchell Trubisky   TEN (8),QB28,,,,,,197,230.0
260,Harrison Butker   KC (10),K18,179,,,,,,179.0
261,Dede Westbrook,WR87,,,,,,216,232.5
262,Tyler Higbee   LAR (8),TE31,,,,,,209,233.0
263,Brian Hoyer,QB29,,,,,,310,258.7
264,Carlos Henderson,WR88,,,,,,185,185.0
265,Alfred Morris,RB82,,,,,,270,251.7
266,Younghoe Koo,K19,190,,,,,,190.0
267,Javorius Allen,RB83,,,,,,245,253.0
268,Laquon Treadwell   IND (11),WR89,,,,,,225,238.0
269,JuJu Smith-Schuster,WR90,,,,,,232,238.0
270,Benjamin Watson,TE32,,,,,,224,239.5
271,C.J. Spiller,RB84,,,,,,196,196.0
272,Zach Miller,TE33,,,,,,295,259.0
273,DeShone Kizer,QB30,,,,,,328,264.0
274,Tampa Bay Buccaneers DST   (1),DST18,,,,,,,244.5
275,Trevor Siemian,QB31,,,,,,274,257.7
276,Travis Benjamin,WR91,,,,,,305,264.7
277,Tim Hightower,RB85,,,,,,267,245.0
278,Jerick McKinnon,RB86,,,,,,281,245.5
279,Las Vegas Raiders DST,DST19,,,,,,,245.5
280,Jared Goff   DET (7),QB32,,,,,,302,256.0
281,Brandon Coleman,WR92,,,,,,212,212.0
282,George Kittle   SF (11),TE34,,,,,,229,248.0
283,Kasen Williams,WR93,,,,,,213,213.0
284,Aaron Jones Sr.   MIN (9),RB87,,,,,,231,248.5
285,Chandler Catanzaro,K20,,,,,,318,265.5
286,Tyler Boyd,WR94,,,,,,236,250.0
287,Donnel Pumphrey,RB88,,,,,,218,218.0
288,Marquise Goodwin,WR95,,,,,,284,251.5
289,Tennessee Titans DST   (8),DST20,,,,,,,251.5
290,Josh Gordon,WR96,,,,,,244,251.5
291,Bruce Ellington,WR97,,,,,,220,220.0
292,Chester Rogers,WR98,,,,,,221,221.0
293,Ryan Switzer,WR99,,,,,,223,223.0
294,Orleans Darkwa,RB89,,,,,,254,263.7
295,Geronimo Allison,WR100,,,,,,230,230.0
296,Jermaine Kearse,WR101,,,,,,283,257.5
297,Gerald Everett,TE35,,,,,,259,258.5
298,Matt Jones,RB90,,,,,,288,262.0
299,Alex Erickson,WR102,,,,,,237,237.0
300,Matt Asiata,RB91,,,,,,238,238.0
301,Chris Johnson,RB92,,,,,,242,242.0
302,Josh McCown,QB33,,,,,,243,243.0
303,Phillip Dorsett II   LV,WR103,,,,,,294,268.5
304,Nick Folk   ATL (5),K21,,,,,,,246.0
305,Jermaine Gresham,TE36,,,,,,246,246.0
306,Wayne Gallman Jr.,RB93,,,,,,248,248.0
307,Andre Roberts,WR104,,,,,,250,250.0
308,Green Bay Packers DST   (8),DST21,,,,,,,252.0
309,Ryan Mathews,RB94,,,,,,252,252.0
310,Jeremy Kerley,WR105,,,,,,303,278.0
311,Cordarrelle Patterson,RB95,,,,,,256,256.0
312,Patrick Mahomes II   KC (10),QB34,,,,,,265,270.0
313,Tajae Sharpe,WR106,,,,,,258,258.0
314,Jeremy McNichols   WAS (5),RB96,,,,,,,258.0
315,Deonte Thompson,WR107,,,,,,260,260.0
316,Brandon Tate,WR108,,,,,,261,261.0
317,Braxton Miller,WR109,,,,,,263,263.0
318,New York Jets DST   (11),DST22,,,,,,,265.0
319,Eli Rogers,WR110,,,,,,319,292.0
320,Taywan Taylor,WR111,,,,,,355,310.5
321,Erik Swoope,TE37,,,,,,268,268.0
322,Dwayne Washington,RB97,,,,,,331,299.5
323,Markus Wheaton,WR112,,,,,,269,269.0
324,Vernon Davis,TE38,,,,,,315,292.0
325,Buffalo Bills DST   (6),DST23,,,,,,,270.0
326,Kamar Aiken,WR113,,,,,,271,271.0
327,Terrance Williams,WR114,,,,,,292,281.5
328,Daniel Lasco,RB98,,,,,,272,272.0
329,Miami Dolphins DST   (1),DST24,,,,,,,273.0
330,Ladarius Green,TE39,,,,,,273,273.0
331,Aldrick Rosas,K22,,,,,,275,275.0
332,Dallas Cowboys DST   (6),DST25,,,,,,,276.0
333,Dennis Pitta,TE40,,,,,,276,276.0
334,Cleveland Browns DST   (9),DST26,,,,,,,277.0
335,Chicago Bears DST   (9),DST27,,,,,,,278.0
336,Zane Gonzalez   MIA (1),K23,,,,,,278,278.0
337,San Francisco 49ers DST   (11),DST28,,,,,,,279.0
338,Phil Dawson,K24,,,,,,279,279.0
339,Washington Commanders DST   (5),DST29,,,,,,,280.0
340,Indianapolis Colts DST   (11),DST30,,,,,,,281.0
341,Detroit Lions DST   (7),DST31,,,,,,,282.0
342,Josh Lambo,K25,,,,,,282,282.0
343,New Orleans Saints DST   (5),DST32,,,,,,,283.0
344,Tom Savage,QB35,,,,,,285,285.0
345,Nick Novak,K26,,,,,,286,286.0
346,Mike Glennon,QB36,,,,,,287,287.0
347,DeAngelo Williams,RB99,,,,,,289,289.0
348,Kenjon Barner,RB100,,,,,,293,293.0
349,Dontrelle Inman,WR115,,,,,,296,296.0
350,Matt Barkley,QB37,,,,,,298,298.0
351,Victor Cruz,WR116,,,,,,299,299.0
352,James Starks,RB101,,,,,,301,301.0
353,Roberto Aguayo,K27,,,,,,304,304.0
354,Michael Floyd,WR117,,,,,,306,306.0
355,Damien Williams,RB102,,,,,,307,307.0
356,Seth Roberts,WR118,,,,,,308,308.0
357,Brock Osweiler,QB38,,,,,,309,309.0
358,Adam Humphries,WR119,,,,,,311,311.0
359,Cody Kessler,QB39,,,,,,312,312.0
360,Paxton Lynch,QB40,,,,,,313,313.0
361,Christine Michael,RB103,,,,,,314,314.0
362,Sammie Coates,WR120,,,,,,316,316.0
363,Ryan Succop,K28,,,,,,317,317.0
364,Cameron Artis-Payne,RB104,,,,,,320,320.0
365,Kai Forbath,K29,,,,,,321,321.0
366,Shaun Draughn,RB105,,,,,,322,322.0
367,Colin Kaepernick,QB41,,,,,,323,323.0
368,De'Anthony Thomas,WR121,,,,,,325,325.0
369,Robbie Gould,K30,,,,,,326,326.0
370,Kenneth Dixon,RB106,,,,,,327,327.0
371,Dorial Green-Beckham,WR122,,,,,,329,329.0
372,Ryan Tannehill,QB42,,,,,,330,330.0
373,Rico Gathers,TE41,,,,,,332,332.0
374,Derrick Coleman,RB107,,,,,,333,333.0
375,Kyle Brindza,K31,,,,,,334,334.0
376,Quincy Enunwa,WR123,,,,,,335,335.0
377,Greg Zuerlein,K32,,,,,,336,336.0
378,Mack Hollins   NE (9),WR124,,,,,,337,337.0
379,Seth DeValve,TE42,,,,,,338,338.0
380,Dion Sims,TE43,,,,,,339,339.0
381,Adam Shaheen,TE44,,,,,,340,340.0
382,Andrew Franks,K33,,,,,,341,341.0
383,Mike Tolbert,RB108,,,,,,342,342.0
384,Elijah McGuire,RB109,,,,,,343,343.0
385,Aaron Hernandez,TE45,,,,,,344,344.0
386,Nick Boyle,TE46,,,,,,345,345.0
387,Corey Clement,RB110,,,,,,346,346.0
388,Rod Smith,RB111,,,,,,347,347.0
389,Alfred Blue,RB112,,,,,,348,348.0
390,Benny Cunningham Jr.,RB113,,,,,,349,349.0
391,Andre Holmes,WR125,,,,,,350,350.0
392,Jakeem Grant Sr.,WR126,,,,,,351,351.0
393,Jake Butt,TE47,,,,,,352,352.0
394,Dwayne Harris,WR127,,,,,,353,353.0
395,Malcolm Brown,RB114,,,,,,354,354.0
396,Matt Moore,QB43,,,,,,356,356.0
397,Charone Peake,WR128,,,,,,357,357.0
398,Jaelen Strong,WR129,,,,,,358,358.0
399,David Fluellen,RB115,,,,,,359,359.0
400,Maxx Williams,TE48,,,,,,360,360.0
401,J.D. McKissic,RB116,,,,,,361,361.0
402,Jordan Leggett,TE49,,,,,,362,362.0
403,Tyler Ervin,RB117,,,,,,363,363.0
404,Trent Taylor,WR130,,,,,,364,364.0
405,Jonnu Smith,TE50,,,,,,365,365.0
406,Ryan Griffin,TE51,,,,,,366,366.0
407,Ka'imi Fairbairn   HOU (7),K34,,,,,,367,367.0
408,Michael Campanaro,WR131,,,,,,368,368.0
409,Albert Wilson,WR132,,,,,,369,369.0
