Rank,Player (Bye),POS,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,AVG
1,Jonathan Taylor   IND (14),RB1,1,1,,1,1,,1.0
2,Christian McCaffrey   SF (9),RB2,2,2,,2,2,,2.0
3,Austin Ekeler,RB3,4,4,,4,3,,3.8
4,Cooper Kupp   SEA (11),WR1,3,5,,3,5,,4.0
5,Derrick Henry   BAL (10),RB4,5,3,,5,8,,5.3
6,Justin Jefferson   MIN (7),WR2,6,6,,6,4,,5.5
7,Dalvin Cook,RB5,9,7,,7,7,,7.5
8,Najee Harris   NYG (9),RB6,8,8,,10,6,,8.0
9,Ja'Marr Chase   CIN (10),WR3,7,9,,8,9,,8.3
10,Joe Mixon,RB7,12,10,,9,10,,10.3
11,Davante Adams   LAR (7),WR4,11,12,,11,15,,12.3
12,Stefon Diggs   WAS (14),WR5,13,11,,12,14,,12.5
13,Alvin Kamara   NO (14),RB8,10,15,,16,12,,13.3
14,Travis Kelce   KC (8),TE1,17,13,,13,17,,15.0
15,D'Andre Swift   CHI (14),RB9,15,14,,22,11,,15.5
16,Deebo Samuel Sr.   SF (9),WR6,14,21,,14,19,,17.0
17,Aaron Jones Sr.   MIN (7),RB10,21,18,,17,22,,19.5
18,CeeDee Lamb   DAL (9),WR7,19,17,,21,21,,19.5
19,Tyreek Hill,WR8,16,20,,20,23,,19.8
20,Nick Chubb,RB11,28,16,,18,18,,20.0
21,Saquon Barkley   PHI (7),RB12,26,19,,23,13,,20.3
22,Josh Allen   BUF (7),QB1,22,22,,15,24,,20.8
23,Mark Andrews   BAL (10),TE2,20,23,,19,25,,21.8
24,Leonard Fournette,RB13,18,25,,25,20,,22.0
25,Javonte Williams   DAL (9),RB14,23,24,,28,16,,22.8
26,Mike Evans   SF (9),WR9,27,26,,26,28,,26.8
27,Keenan Allen   IND (14),WR10,24,27,,29,33,,28.3
28,James Conner   ARI (13),RB15,25,30,,36,26,,29.3
29,Patrick Mahomes II   KC (8),QB2,29,32,,24,34,,29.8
30,Ezekiel Elliott,RB16,38,29,,27,27,,30.3
31,A.J. Brown   NE (10),WR11,34,28,,32,29,,30.8
32,Kyle Pitts Sr.   ATL (14),TE3,35,31,,33,32,,32.8
33,Michael Pittman Jr.   PIT (9),WR12,31,35,,38,30,,33.5
34,Tee Higgins   CIN (10),WR13,30,33,,35,37,,33.8
35,Justin Herbert   LAC (8),QB3,36,34,,30,38,,34.5
36,David Montgomery   HOU (6),RB17,40,40,,31,35,,36.5
37,Cam Akers,RB18,33,37,,53,36,,39.8
38,George Kittle   SF (9),TE4,41,36,,34,48,,39.8
39,Travis Etienne Jr.   NO (14),RB19,45,39,,47,31,,40.5
40,Terry McLaurin   WAS (14),WR14,37,38,,42,47,,41.0
41,Lamar Jackson   BAL (10),QB4,42,43,,37,52,,43.5
42,DJ Moore   BUF (7),WR15,32,42,,60,41,,43.8
43,Diontae Johnson,WR16,43,45,,41,46,,43.8
44,Darren Waller   CAR (13),TE5,47,41,,40,51,,44.8
45,Mike Williams,WR17,39,50,,51,44,,46.0
46,Jaylen Waddle   DEN (9),WR18,44,44,,44,57,,47.3
47,DK Metcalf   PIT (9),WR19,46,48,,39,60,,48.3
48,Josh Jacobs   GB (14),RB20,54,49,,45,50,,49.5
49,Elijah Mitchell,RB21,62,58,,48,40,,52.0
50,J.K. Dobbins   DEN (9),RB22,55,54,,50,49,,52.0
51,Breece Hall   NYJ (10),RB23,48,46,,70,45,,52.3
52,Kyler Murray   MIN (7),QB5,52,53,,43,67,,53.8
53,Jalen Hurts   PHI (7),QB6,56,62,,49,54,,55.3
54,Brandin Cooks,WR20,49,61,,55,59,,56.0
