coach_name,coach_page_title,organization,organization_page_title,organization_team_code,is_nfl,start_season,end_season,is_current,role,is_offensive_coordinator,raw_entry,source_url,source_revision_id,source_revision_timestamp
Jonathan Gannon,Jonathan Gannon,Louisville,Louisville Cardinals Football,,False,2003,2005.0,False,Student assistant,False,[[Louisville Cardinals Football|Louisville]] (2003–2005)<br>Student assistant,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Louisville,,,False,2006,2006.0,False,Graduate assistant,False,Louisville (2006)<br>Graduate assistant,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Atlanta Falcons,Atlanta Falcons,ATL,True,2007,2007.0,False,Defensive quality control coach,False,[[Atlanta Falcons]] ({{nfly|2007}})<br>Defensive quality control coach,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Tennessee Titans,Tennessee Titans,TEN,True,2012,2013.0,False,Defensive quality control coach,False,[[Tennessee Titans]] ({{nfly|2012|2013}})<br>Defensive quality control coach,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Minnesota Vikings,Minnesota Vikings,MIN,True,2014,2017.0,False,Assistant defensive backs coach,False,[[Minnesota Vikings]] ({{nfly|2014|2017}})<br>Assistant defensive backs coach,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Indianapolis Colts,Indianapolis Colts,IND,True,2018,2020.0,False,Defensive backs coach,False,[[Indianapolis Colts]] ({{nfly|2018|2020}})<br>Defensive backs coach,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2021,2022.0,False,Defensive coordinator,False,[[Philadelphia Eagles]] ({{nfly|2021|2022}})<br>Defensive coordinator,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Arizona Cardinals,Arizona Cardinals,ARI,True,2023,2025.0,False,Head coach,False,[[Arizona Cardinals]] ({{nfly|2023|2025}})<br>Head coach,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Jonathan Gannon,Jonathan Gannon,Green Bay Packers,Green Bay Packers,GB,True,2026,,True,Defensive coordinator,False,[[Green Bay Packers]] ({{nfly|2026}}–present)<br>Defensive coordinator,https://en.wikipedia.org/wiki/Jonathan_Gannon,1368109401,2026-08-07T02:13:28Z
Drew Petzing,Drew Petzing,Harvard,Harvard Crimson football,,False,2009,2009.0,False,Volunteer student assistant,False,[[Harvard Crimson football|Harvard]] (2009)<br>Volunteer student assistant,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
