coach_name,coach_page_title,organization,organization_page_title,organization_team_code,is_nfl,start_season,end_season,is_current,role,is_offensive_coordinator,raw_entry,source_url,source_revision_id,source_revision_timestamp
Drew Petzing,Drew Petzing,Boston College,Boston College Eagles football,,False,2010,2011.0,False,Graduate assistant,False,[[Boston College Eagles football|Boston College]] (2010–2011)<br>Graduate assistant,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Yale,Yale Bulldogs football,,False,2012,2012.0,False,Outside linebackers coach,False,[[Yale Bulldogs football|Yale]] (2012)<br>Outside linebackers coach,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Cleveland Browns,Cleveland Browns,CLE,True,2013,2013.0,False,Football operations intern,False,[[Cleveland Browns]] ({{nfly|2013}})<br>Football operations intern,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Minnesota Vikings,Minnesota Vikings,MIN,True,2014,2015.0,False,Offensive assistant,False,{{ubl|Offensive assistant ({{nfly|2014|2015}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Minnesota Vikings,Minnesota Vikings,MIN,True,2016,2017.0,False,Assistant wide receivers coach,False,{{ubl|Assistant wide receivers coach ({{nfly|2016|2017}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Minnesota Vikings,Minnesota Vikings,MIN,True,2018,2018.0,False,Assistant quarterbacks coach,False,{{ubl|Assistant quarterbacks coach ({{nfly|2018}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Minnesota Vikings,Minnesota Vikings,MIN,True,2019,2019.0,False,Wide receivers coach,False,{{ubl|Wide receivers coach ({{nfly|2019}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Cleveland Browns,,CLE,True,2020,2021.0,False,Tight ends coach,False,{{ubl|Tight ends coach ({{nfly|2020|2021}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Cleveland Browns,,CLE,True,2022,2022.0,False,Quarterbacks coach,False,{{ubl|Quarterbacks coach ({{nfly|2022}})}},https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Arizona Cardinals,Arizona Cardinals,ARI,True,2023,2025.0,False,Offensive coordinator,True,[[Arizona Cardinals]] ({{nfly|2023|2025}})<br>Offensive coordinator,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Drew Petzing,Drew Petzing,Detroit Lions,Detroit Lions,DET,True,2026,,True,Offensive coordinator,True,[[Detroit Lions]] ({{nfly|2026}}–present)<br>Offensive coordinator,https://en.wikipedia.org/wiki/Drew_Petzing,1362472565,2026-07-04T04:26:38Z
Raheem Morris,Raheem Morris,Hofstra,Hofstra Pride football,,False,1998,1998.0,False,Graduate assistant,False,[[Hofstra Pride football|Hofstra]] (1998)<br>Graduate assistant,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Cornell,Cornell Big Red football,,False,1999,1999.0,False,Defensive backs coach,False,[[Cornell Big Red football|Cornell]] (1999)<br>Defensive backs coach,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Hofstra,,,False,2000,2001.0,False,Defensive backs coach,False,Hofstra (2000–2001)<br>Defensive backs coach,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2002,2002.0,False,Defensive quality control coach,False,{{ubl|Defensive quality control coach ({{nfly|2002}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2003,2003.0,False,Defensive assistant,False,{{ubl|Defensive assistant ({{nfly|2003}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2004,2005.0,False,Assistant defensive backs coach,False,{{ubl|Assistant defensive backs coach ({{nfly|2004|2005}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Kansas State,Kansas State Wildcats football,,False,2006,2006.0,False,Defensive coordinator,False,[[Kansas State Wildcats football|Kansas State]] (2006)<br>Defensive coordinator,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2007,2008.0,False,Defensive backs coach,False,{{ubl|Defensive backs coach ({{nfly|2007|2008}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2009,2011.0,False,Head coach,False,{{ubl|Head coach ({{nfly|2009|2011}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Washington Redskins,Washington Redskins,WAS,True,2012,2014.0,False,Defensive backs coach,False,[[Washington Redskins]] ({{nfly|2012|2014}})<br>Defensive backs coach,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2015,2015.0,False,Assistant head coach & defensive pass game coordinator,False,{{ubl|Assistant head coach & defensive pass game coordinator ({{nfly|2015}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2016,2016.0,False,Assistant head coach & wide receivers coach,False,{{ubl|Assistant head coach & wide receivers coach ({{nfly|2016}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2017,2017.0,False,"Assistant head coach, wide receivers coach & offensive pass game coordinator",False,"{{ubl|Assistant head coach, wide receivers coach & offensive pass game coordinator ({{nfly|2017}})}}",https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2018,2018.0,False,Assistant head coach & offensive pass game coordinator,False,{{ubl|Assistant head coach & offensive pass game coordinator ({{nfly|2018}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2019,2019.0,False,"Assistant head coach, defensive backs coach & wide receivers coach",False,"{{ubl|Assistant head coach, defensive backs coach & wide receivers coach ({{nfly|2019}})}}",https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,Atlanta Falcons,ATL,True,2020,2020.0,False,Defensive coordinator & interim head coach,False,{{ubl| Defensive coordinator & interim head coach ({{nfly|2020}})}},https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Los Angeles Rams,Los Angeles Rams,LAR,True,2021,2023.0,False,Defensive coordinator,False,[[Los Angeles Rams]] ({{nfly|2021|2023}})<br>Defensive coordinator,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,Atlanta Falcons,,ATL,True,2024,2025.0,False,Head coach,False,Atlanta Falcons ({{nfly|2024|2025}})<br>Head coach,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Raheem Morris,Raheem Morris,San Francisco 49ers,San Francisco 49ers,SF,True,2026,,True,Defensive coordinator,False,[[San Francisco 49ers]] ({{nfly|2026}}–present)<br>Defensive coordinator,https://en.wikipedia.org/wiki/Raheem_Morris,1372679755,2026-09-01T19:42:51Z
Zac Robinson,Zac Robinson,Los Angeles Rams,Los Angeles Rams,LAR,True,2019,2021.0,False,Assistant quarterbacks coach,False,"{{ubl|Assistant quarterbacks coach ({{nfly|2019}}, {{nfly|2021}})}}",https://en.wikipedia.org/wiki/Zac_Robinson,1362218487,2026-07-02T16:00:44Z
Zac Robinson,Zac Robinson,Los Angeles Rams,Los Angeles Rams,LAR,True,2020,2020.0,False,Assistant wide receivers coach,False,{{ubl|Assistant wide receivers coach ({{nfly|2020}})}},https://en.wikipedia.org/wiki/Zac_Robinson,1362218487,2026-07-02T16:00:44Z
Zac Robinson,Zac Robinson,Los Angeles Rams,Los Angeles Rams,LAR,True,2022,2023.0,False,Pass game coordinator & quarterbacks coach,False,{{ubl|Pass game coordinator & quarterbacks coach ({{nfly|2022|2023}})}},https://en.wikipedia.org/wiki/Zac_Robinson,1362218487,2026-07-02T16:00:44Z
Zac Robinson,Zac Robinson,Atlanta Falcons,Atlanta Falcons,ATL,True,2024,2025.0,False,Offensive coordinator,True,[[Atlanta Falcons]] ({{nfly|2024|2025}})<br>Offensive coordinator,https://en.wikipedia.org/wiki/Zac_Robinson,1362218487,2026-07-02T16:00:44Z
Zac Robinson,Zac Robinson,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2026,,True,Offensive coordinator,True,[[Tampa Bay Buccaneers]] ({{nfly|2026}}–present)<br>Offensive coordinator,https://en.wikipedia.org/wiki/Zac_Robinson,1362218487,2026-07-02T16:00:44Z
Sean McDermott,Sean McDermott,William & Mary,,,False,1998,1998,False,Graduate assistant,False,William & Mary (1998) <br> Graduate assistant,https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2001,2001,False,Assistant to head coach,False,{{ubl|Assistant to head coach ({{NFL Year|2001}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2002,2003,False,Defensive assistant & quality control,False,{{ubl|Defensive assistant & quality control ({{NFL Year|2002|2003}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2004,2006,False,Assistant defensive backs coach,False,{{ubl|Assistant defensive backs coach ({{NFL Year|2004|2006}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2007,2007,False,Linebackers coach,False,{{ubl|Linebackers coach ({{NFL Year|2007}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2008,2008,False,Defensive backs coach,False,{{ubl|Defensive backs coach ({{NFL Year|2008}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Philadelphia Eagles,Philadelphia Eagles,PHI,True,2009,2010,False,Defensive coordinator & defensive backs coach,False,{{ubl|Defensive coordinator & defensive backs coach ({{NFL Year|2009|2010}})}},https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Carolina Panthers,Carolina Panthers,CAR,True,2011,2016,False,Defensive coordinator,False,[[Carolina Panthers]] ({{NFL Year|2011|2016}}) <br> Defensive coordinator,https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Sean McDermott,Sean McDermott,Buffalo Bills,Buffalo Bills,BUF,True,2017,2025,False,Head coach,False,[[Buffalo Bills]] ({{NFL Year|2017|2025}}) <br> Head coach,https://en.wikipedia.org/wiki/Sean_McDermott,1367117536,2026-08-01T02:35:22Z
Joe Brady,Joe Brady,William & Mary,William & Mary Tribe football,,False,2013,2014.0,False,Linebackers coach,False,[[William & Mary Tribe football|William & Mary]] (2013–2014)<br>Linebackers coach,https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Penn State,Penn State Nittany Lions football,,False,2015,2016.0,False,Graduate assistant,False,[[Penn State Nittany Lions football|Penn State]] (2015–2016)<br>Graduate assistant,https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,New Orleans Saints,New Orleans Saints,NO,True,2017,2018.0,False,Offensive assistant,False,[[New Orleans Saints]] ({{nfly|2017|2018}})<br>Offensive assistant,https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,LSU,LSU Tigers football,,False,2019,2019.0,False,Passing game coordinator & wide receivers coach,False,[[LSU Tigers football|LSU]] ([[2019 LSU Tigers football team|2019]])<br>Passing game coordinator & wide receivers coach,https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Carolina Panthers,Carolina Panthers,CAR,True,2020,2021.0,False,Offensive coordinator,True,[[Carolina Panthers]] ({{nfly|2020}}–{{nfly|2021}})<br>Offensive coordinator,https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Buffalo Bills,Buffalo Bills,BUF,True,2022,2023.0,True,Quarterbacks coach,False,{{ubl|Quarterbacks coach ({{nfly|2022|2023}})}},https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Buffalo Bills,Buffalo Bills,BUF,True,2023,2023.0,True,Interim offensive coordinator,True,{{ubl|Interim offensive coordinator ({{nfly|2023}})}},https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Buffalo Bills,Buffalo Bills,BUF,True,2024,2025.0,True,Offensive coordinator,True,{{ubl|Offensive coordinator ({{nfly|2024|2025}})}},https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Joe Brady,Joe Brady,Buffalo Bills,Buffalo Bills,BUF,True,2026,,True,Head coach,False,{{ubl|Head coach ({{nfly|2026}}–present)}},https://en.wikipedia.org/wiki/Joe_Brady,1372040387,2026-08-30T00:24:44Z
Brad Idzik,Brad Idzik,Stanford,Stanford Cardinal football,,False,2014,2018.0,False,Graduate assistant,False,[[Stanford Cardinal football|Stanford]] (2014–2018)<br />Graduate assistant,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
Brad Idzik,Brad Idzik,Seattle Seahawks,Seattle Seahawks,SEA,True,2019,2020.0,False,Assistant wide receivers coach,False,[[Seattle Seahawks]] ({{NFL Year|2019|2020}})<br />Assistant wide receivers coach,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
Brad Idzik,Brad Idzik,Seattle Seahawks,,SEA,True,2021,2021.0,False,Assistant quarterbacks coach & offensive quality control coach,False,Seattle Seahawks ({{NFL Year|2021}})<br /> Assistant quarterbacks coach & offensive quality control coach,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
Brad Idzik,Brad Idzik,Seattle Seahawks,,SEA,True,2022,2022.0,False,Assistant wide receivers coach,False,Seattle Seahawks ({{NFL Year|2022}})<br />Assistant wide receivers coach,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
Brad Idzik,Brad Idzik,Tampa Bay Buccaneers,Tampa Bay Buccaneers,TB,True,2023,2023.0,False,Wide receivers coach,False,[[Tampa Bay Buccaneers]] ({{NFL Year|2023}})<br /> Wide receivers coach,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
Brad Idzik,Brad Idzik,Carolina Panthers,Carolina Panthers,CAR,True,2024,,True,Offensive coordinator,True,[[Carolina Panthers]] ({{NFL Year|2024}}–present)<br>Offensive coordinator,https://en.wikipedia.org/wiki/Brad_Idzik,1368605512,2026-08-10T01:52:44Z
