issue,season,team,subject
missing_structured_coach_history,,,John Harbaugh
missing_structured_coach_history,,,Todd Monken
missing_structured_coach_history,,,Dave Canales
scheme_source_needs_review,2024,BAL,Todd Monken
scheme_source_needs_review,2024,BUF,Joe Brady
